arch01,arch02,arch03,arch04,arch05,arch06,arch07,arch08,arch09,arch0_0000,arch0_0001,arch0_0002,arch0_0004,arch0_0006,arch0_0007,arch0_0008,arch0_0009,arch0_0016,arch0_0017,arch10,arch_f00,arch_f04,arch_f05,arch_f06,arch_f09,arch_f11,arch_f13,arch_f15,arch_f17,arch_f20
relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,"hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]","hpool2 [1, 6]"
bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,"hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]","hpool2 [1, 4]",bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2,bnorm2
"conv3 [2, 4, 64]","conv3 [3, 16, 64]","conv3 [1, 8, 64]","conv3 [3, 8, 64]","conv3 [2, 8, 64]","conv3 [3, 4, 128]","conv3 [2, 32, 64]","conv3 [2, 16, 64]","conv3 [3, 4, 64]",lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,lnorm2,"conv3 [1, 2, 128]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]","conv3 [8, 1, 256]"
"mpool3 [2, 4]","mpool3 [1, 1]","mpool3 [1, 4]","mpool3 [2, 4]","mpool3 [1, 1]","mpool3 [1, 1]","mpool3 [1, 4]","mpool3 [1, 1]","mpool3 [1, 4]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","conv3 [3, 12, 256]","conv3 [12, 3, 256]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","conv3 [6, 6, 256]","mpool3 [1, 2]",relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3
relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,relu3,"hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]","hpool3 [2, 2]"
bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,"hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]","hpool3 [1, 4]",bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3,bnorm3
"conv4 [3, 8, 128]","conv4 [1, 8, 64]","conv4 [3, 8, 64]","conv4 [2, 2, 128]","conv4 [1, 16, 64]","conv4 [2, 16, 128]","conv4 [3, 2, 64]","conv4 [1, 16, 64]","conv4 [3, 8, 128]",lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,lnorm3,flatten,"conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]","conv4 [7, 2, 256]"
"mpool4 [1, 1]","mpool4 [1, 4]","mpool4 [1, 1]","mpool4 [1, 4]","mpool4 [1, 4]","mpool4 [1, 2]","mpool4 [1, 1]","mpool4 [1, 2]","mpool4 [1, 4]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]","conv4 [4, 16, 512]","conv4 [8, 8, 512]","conv4 [8, 8, 512]",fc0 [512],relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4
relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu4,relu_fc0,"hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]"
bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,"hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]","hpool4 [1, 1]",norm_fc0,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4,bnorm4
"conv5 [3, 32, 128]","conv5 [3, 8, 128]","conv5 [1, 2, 64]","conv5 [1, 4, 256]","conv5 [3, 4, 128]","conv5 [1, 2, 256]","conv5 [1, 2, 64]","conv5 [2, 32, 128]","conv5 [3, 2, 256]",lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,lnorm4,dropout,"conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]","conv5 [2, 2, 512]"
"mpool5 [1, 4]","mpool5 [1, 4]","mpool5 [1, 1]","mpool5 [1, 1]","mpool5 [1, 2]","mpool5 [1, 1]","mpool5 [2, 4]","mpool5 [1, 4]","mpool5 [1, 2]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]","conv5 [6, 6, 512]",fc [504],relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5
