word,wsn,cv
products,548.0,537.0
professional,549.0,538.0
profit,550.0,
program,551.0,539.0
programs,552.0,540.0
project,553.0,541.0
property,554.0,542.0
proposal,555.0,
proposed,556.0,
protection,557.0,
provide,558.0,543.0
provided,559.0,544.0
public,560.0,547.0
published,561.0,548.0
quality,562.0,
quarter,563.0,
question,564.0,
quickly,565.0,549.0
quite,566.0,550.0
radio,567.0,551.0
raised,568.0,554.0
range,569.0,555.0
rates,570.0,
rather,571.0,556.0
reach,572.0,
reached,573.0,557.0
reason,574.0,560.0
receive,575.0,
received,576.0,561.0
recent,577.0,562.0
recently,578.0,563.0
record,579.0,564.0
recorded,580.0,565.0
records,581.0,566.0
reduced,582.0,
referred,583.0,567.0
refused,584.0,
region,585.0,568.0
regular,586.0,570.0
related,587.0,571.0
relationship,588.0,572.0
relatively,589.0,
release,590.0,573.0
released,591.0,574.0
religious,592.0,
remain,593.0,
remained,594.0,575.0
remaining,595.0,
remains,596.0,576.0
replaced,597.0,578.0
report,598.0,
reported,599.0,
reports,600.0,
required,601.0,579.0
research,602.0,580.0
response,603.0,
result,604.0,581.0
resulting,605.0,
results,606.0,582.0
return,607.0,583.0
returned,608.0,584.0
review,609.0,
richard,610.0,586.0
right,611.0,587.0
rights,612.0,588.0
river,613.0,589.0
robert,614.0,590.0
rules,615.0,
running,616.0,595.0
safety,617.0,
sales,618.0,
saying,619.0,
scale,620.0,
school,621.0,597.0
science,622.0,599.0
scientific,623.0,
season,624.0,601.0
second,625.0,602.0
secretary,626.0,
section,627.0,603.0
securities,628.0,
seems,629.0,
selling,630.0,
senate,631.0,
senior,632.0,
separate,633.0,605.0
september,634.0,
series,635.0,606.0
serious,636.0,
served,637.0,607.0
service,638.0,609.0
seven,639.0,611.0
seventeen,640.0,
seventy,641.0,
several,642.0,612.0
share,643.0,
shares,644.0,
short,645.0,616.0
should,646.0,618.0
shown,647.0,
shows,648.0,620.0
significant,649.0,621.0
similar,650.0,622.0
simply,651.0,624.0
since,652.0,625.0
single,653.0,626.0
situation,654.0,
sixteen,655.0,
sixty,656.0,
small,657.0,630.0
smaller,658.0,631.0
social,659.0,633.0
society,660.0,634.0
something,661.0,636.0
sometimes,662.0,637.0
sound,663.0,639.0
sources,664.0,
south,665.0,641.0
southern,666.0,642.0
special,667.0,646.0
specific,668.0,648.0
speed,669.0,
spending,670.0,
spent,671.0,649.0
spokesman,672.0,
spread,673.0,
square,674.0,
staff,675.0,
stage,676.0,651.0
standard,677.0,652.0
start,678.0,654.0
started,679.0,655.0
state,680.0,656.0
stated,681.0,
statement,682.0,
status,683.0,
still,684.0,660.0
stock,685.0,
stories,686.0,664.0
story,687.0,665.0
strategy,688.0,
street,689.0,666.0
strong,690.0,667.0
structure,691.0,668.0
students,692.0,670.0
studies,693.0,672.0
study,694.0,674.0
style,695.0,675.0
subject,696.0,
success,697.0,677.0
successful,698.0,678.0
suggested,699.0,
summer,700.0,680.0
supply,701.0,
support,702.0,681.0
supported,703.0,682.0
system,704.0,685.0
taken,705.0,688.0
takes,706.0,689.0
taking,707.0,690.0
technology,708.0,694.0
television,709.0,695.0
terms,710.0,696.0
texas,711.0,
their,712.0,698.0
themselves,713.0,699.0
theory,714.0,700.0
there,715.0,701.0
therefore,716.0,703.0
these,717.0,704.0
things,718.0,707.0
think,719.0,708.0
third,720.0,709.0
thirteen,721.0,
thirty,722.0,
thomas,723.0,710.0
those,724.0,711.0
though,725.0,712.0
thought,726.0,713.0
thousand,727.0,
thousands,728.0,
three,729.0,714.0
through,730.0,715.0
throughout,731.0,716.0
times,732.0,717.0
title,733.0,718.0
today,734.0,719.0
together,735.0,720.0
total,736.0,
towards,737.0,721.0
track,738.0,724.0
trade,739.0,726.0
trading,740.0,
traditional,741.0,727.0
training,742.0,729.0
travel,743.0,731.0
treatment,744.0,
troops,745.0,
trying,746.0,735.0
turned,747.0,736.0
twelve,748.0,
twentieth,749.0,
twenty,750.0,737.0
typically,751.0,740.0
under,752.0,741.0
units,753.0,
university,754.0,747.0
until,755.0,749.0
using,756.0,751.0
usually,757.0,752.0
value,758.0,
variety,759.0,754.0
various,760.0,755.0
version,761.0,756.0
video,762.0,757.0
wanted,763.0,762.0
water,764.0,764.0
weeks,765.0,
western,766.0,767.0
where,767.0,769.0
whether,768.0,770.0
which,769.0,771.0
while,770.0,772.0
white,771.0,773.0
whole,772.0,774.0
whose,773.0,
widely,774.0,775.0
wikipedia,775.0,
winter,776.0,778.0
within,777.0,779.0
without,778.0,780.0
women,779.0,782.0
words,780.0,784.0
worked,781.0,785.0
workers,782.0,
working,783.0,786.0
works,784.0,787.0
world,785.0,788.0
world's,786.0,
would,787.0,789.0
writing,788.0,792.0
written,789.0,793.0
wrote,790.0,794.0
years,791.0,795.0
yesterday,792.0,
young,793.0,799.0
access,,3.0
aircraft,,18.0
airport,,19.0
album,,20.0
alchemist,,21.0
answered,,35.0
anything,,36.0
artist,,44.0
australia,,50.0
author,,51.0
awards,,54.0
beach,,57.0
birds,,71.0
blood,,73.0
border,,76.0
bridge,,77.0
bright,,78.0
bring,,79.0
brother,,81.0
brothers,,82.0
brown,,84.0
buildings,,86.0
buried,,88.0
campaign,,92.0
can't,,93.0
canada,,94.0
catholic,,101.0
cemetery,,104.0
centre,,107.0
charge,,114.0
chinese,,120.0
christian,,121.0
church,,122.0
cities,,123.0
coach,,129.0
collection,,131.0
color,,133.0
comes,,134.0
commonly,,138.0
completely,,144.0
computer,,146.0
consists,,149.0
continues,,154.0
couldn't,,157.0
council,,158.0
countries,,159.0
couple,,162.0
covered,,166.0
creek,,168.0
dance,,173.0
daughter,,174.0
degree,,178.0
desert,,181.0
direction,,190.0
divided,,194.0
division,,195.0
doing,,198.0
dream,,200.0
eastern,,205.0
economy,,206.0
educated,,207.0
election,,213.0
engine,,215.0
england,,216.0
entered,,219.0
entirely,,221.0
episode,,222.0
europe,,225.0
european,,226.0
everyone,,231.0
everything,,232.0
exist,,236.0
father,,241.0
features,,244.0
female,,245.0
festival,,246.0
fight,,248.0
films,,249.0
finally,,251.0
finished,,252.0
firefox,,253.0
flight,,255.0
floor,,256.0
football,,259.0
forest,,263.0
forward,,267.0
frequently,,273.0
friend,,274.0
function,,277.0
garden,,281.0
george,,284.0
germany,,286.0
getting,,287.0
gives,,289.0
governor,,292.0
greek,,294.0
green,,295.0
guitar,,299.0
hands,,300.0
happen,,301.0
happened,,302.0
happy,,303.0
heard,,306.0
heart,,307.0
historic,,313.0
horse,,316.0
hospital,,317.0
houses,,320.0
husband,,324.0
india,,333.0
indian,,334.0
internet,,343.0
islands,,346.0
italian,,350.0
junior,,356.0
language,,359.0
languages,,360.0
league,,367.0
learn,,368.0
leaves,,371.0
let's,,373.0
library,,375.0
listed,,379.0
lives,,382.0
location,,386.0
looked,,389.0
machine,,392.0
marked,,399.0
marriage,,401.0
married,,402.0
maybe,,405.0
metal,,412.0
method,,413.0
middle,,415.0
minor,,420.0
minutes,,421.0
mixed,,422.0
model,,423.0
models,,424.0
moment,,426.0
mother,,432.0
mountain,,433.0
mouth,,434.0
movie,,437.0
multiple,,438.0
municipality,,439.0
museum,,440.0
nearby,,449.0
needs,,451.0
network,,452.0
newspaper,,454.0
notable,,458.0
offers,,467.0
older,,471.0
operated,,473.0
operates,,474.0
origin,,477.0
owned,,483.0
paris,,486.0
parish,,487.0
peter,,499.0
phone,,500.0
piece,,501.0
places,,504.0
planet,,505.0
plays,,512.0
please,,513.0
politics,,517.0
president,,525.0
provides,,545.0
province,,546.0
railroad,,552.0
railway,,553.0
reading,,558.0
really,,559.0
regional,,569.0
remember,,577.0
reviews,,585.0
roman,,591.0
round,,592.0
route,,593.0
royal,,594.0
saint,,596.0
schools,,598.0
search,,600.0
seemed,,604.0
serves,,608.0
services,,610.0
shall,,613.0
shape,,614.0
sheep,,615.0
shortly,,617.0
showed,,619.0
simple,,623.0
sister,,627.0
slightly,,628.0
slowly,,629.0
smith,,632.0
software,,635.0
songs,,638.0
source,,640.0
space,,643.0
spanish,,644.0
speak,,645.0
species,,647.0
sports,,650.0
stars,,653.0
states,,657.0
station,,658.0
stations,,659.0
stone,,661.0
stood,,662.0
stopped,,663.0
student,,669.0
studied,,671.0
studio,,673.0
subsequently,,676.0
suddenly,,679.0
surface,,683.0
surrounding,,684.0
systems,,686.0
table,,687.0
talking,,691.0
taught,,692.0
teams,,693.0
that's,,697.0
there's,,702.0
they're,,705.0
thing,,706.0
tower,,722.0
township,,723.0
tracks,,725.0
train,,728.0
trains,,730.0
trees,,732.0
tried,,733.0
trust,,734.0
twice,,738.0
types,,739.0
understand,,742.0
understood,,743.0
union,,744.0
unique,,745.0
united,,746.0
unknown,,748.0
upper,,750.0
valley,,753.0
village,,758.0
virginia,,759.0
voice,,760.0
waiting,,761.0
wasn't,,763.0
we're,,765.0
website,,766.0
what's,,768.0
william,,776.0
windows,,777.0
woman,,781.0
won't,,783.0
write,,790.0
writer,,791.0
yellow,,796.0
you'll,,797.0
you're,,798.0
younger,,800.0
