background_condition,correct_spkr,correct_word,cutoff_channel,cutoff_channel_freq,fn_eval,index,popt,snr,srt,tag_expt,tag_model
4.0,"[0.007978723404255319, 0.010638297872340425, 0.018617021276595744, 0.0398936170212766, 0.07180851063829788, 0.17819148936170212, 0.30851063829787234, 0.48936170212765956, 0.6329787234042553, 0.7154255319148937, 0.8031914893617021, 0.8537234042553191, 0.9069148936170213, 0.9335106382978723, 0.9202127659574468]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.010638297872340425, 0.047872340425531915, 0.13297872340425532, 0.29521276595744683, 0.4175531914893617, 0.5824468085106383, 0.6595744680851063, 0.7127659574468085, 0.75, 0.776595744680851, 0.7978723404255319]",12.0,871.6275024414062,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1758,[ 0.760773   -0.88650222  5.76366331],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-0.8865022156903605,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
4.0,"[0.007978723404255319, 0.013297872340425532, 0.023936170212765957, 0.0398936170212766, 0.0851063829787234, 0.21808510638297873, 0.38563829787234044, 0.550531914893617, 0.6648936170212766, 0.7659574468085106, 0.8457446808510638, 0.8909574468085106, 0.9148936170212766, 0.9414893617021277, 0.949468085106383]","[0.0, 0.0, 0.0, 0.010638297872340425, 0.015957446808510637, 0.061170212765957445, 0.17553191489361702, 0.300531914893617, 0.4627659574468085, 0.574468085106383, 0.6622340425531915, 0.6968085106382979, 0.7553191489361702, 0.773936170212766, 0.7978723404255319]",16.0,1452.0006103515625,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1759,[ 0.75776148 -1.35607621  6.09202301],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-1.3560762107845334,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
4.0,"[0.010638297872340425, 0.010638297872340425, 0.023936170212765957, 0.05585106382978723, 0.1276595744680851, 0.3191489361702128, 0.47074468085106386, 0.6303191489361702, 0.7340425531914894, 0.824468085106383, 0.8962765957446809, 0.9335106382978723, 0.9441489361702128, 0.9441489361702128, 0.9547872340425532]","[0.0, 0.0, 0.0, 0.007978723404255319, 0.026595744680851064, 0.09308510638297872, 0.20212765957446807, 0.3670212765957447, 0.4920212765957447, 0.5904255319148937, 0.6728723404255319, 0.7180851063829787, 0.7686170212765957, 0.776595744680851, 0.8191489361702128]",20.0,2338.45751953125,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1760,[ 0.76510359 -2.10876296  6.32871319],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.1087629556525838,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
4.0,"[0.013297872340425532, 0.02127659574468085, 0.034574468085106384, 0.07446808510638298, 0.19148936170212766, 0.39361702127659576, 0.5877659574468085, 0.7606382978723404, 0.848404255319149, 0.9095744680851063, 0.9388297872340425, 0.9414893617021277, 0.9547872340425532, 0.949468085106383, 0.9707446808510638]","[0.0, 0.0, 0.0026595744680851063, 0.007978723404255319, 0.0425531914893617, 0.10904255319148937, 0.24202127659574468, 0.425531914893617, 0.5425531914893617, 0.6090425531914894, 0.6781914893617021, 0.7313829787234043, 0.7659574468085106, 0.7925531914893617, 0.8111702127659575]",24.0,3692.423583984375,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1761,[ 0.76303687 -3.09574262  6.21693366],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.095742615368053,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
4.0,"[0.010638297872340425, 0.015957446808510637, 0.0398936170212766, 0.0851063829787234, 0.22074468085106383, 0.4601063829787234, 0.6835106382978723, 0.8138297872340425, 0.8909574468085106, 0.9281914893617021, 0.9547872340425532, 0.9627659574468085, 0.9627659574468085, 0.9627659574468085, 0.9680851063829787]","[0.0, 0.0026595744680851063, 0.0026595744680851063, 0.007978723404255319, 0.04521276595744681, 0.13031914893617022, 0.2579787234042553, 0.43351063829787234, 0.5771276595744681, 0.648936170212766, 0.6914893617021277, 0.75, 0.7792553191489362, 0.8085106382978723, 0.8191489361702128]",28.0,5760.4599609375,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1762,[ 0.7752756  -3.47696392  5.99643551],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.4769639184776415,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
4.0,"[0.010638297872340425, 0.015957446808510637, 0.0398936170212766, 0.0797872340425532, 0.23404255319148937, 0.47074468085106386, 0.6914893617021277, 0.8324468085106383, 0.898936170212766, 0.9414893617021277, 0.9601063829787234, 0.9654255319148937, 0.9654255319148937, 0.9654255319148937, 0.973404255319149]","[0.0, 0.0, 0.0026595744680851063, 0.010638297872340425, 0.05851063829787234, 0.13297872340425532, 0.2553191489361702, 0.42819148936170215, 0.5664893617021277, 0.625, 0.7074468085106383, 0.7659574468085106, 0.7712765957446809, 0.800531914893617, 0.824468085106383]",32.0,8000.0,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0009/EVAL_hopkins_moore_2009.json,1763,[ 0.78074334 -3.29358877  6.29214334],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.2935887734400224,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05053191489361702, 0.05585106382978723, 0.06648936170212766, 0.07180851063829788, 0.15159574468085107, 0.3271276595744681, 0.5159574468085106, 0.6728723404255319, 0.7393617021276596, 0.8138297872340425, 0.8457446808510638, 0.8590425531914894, 0.8723404255319149, 0.8909574468085106, 0.8856382978723404]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.026595744680851064, 0.11436170212765957, 0.27393617021276595, 0.44680851063829785, 0.6090425531914894, 0.7207446808510638, 0.7632978723404256, 0.7792553191489362, 0.7872340425531915, 0.8138297872340425, 0.800531914893617]",0.0,80.0,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1764,[ 0.79224108 -3.78875854  5.04097671],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.7887585371187837,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05319148936170213, 0.05585106382978723, 0.06382978723404255, 0.07180851063829788, 0.13829787234042554, 0.2712765957446808, 0.48404255319148937, 0.6781914893617021, 0.773936170212766, 0.8377659574468085, 0.8670212765957447, 0.8803191489361702, 0.9069148936170213, 0.9095744680851063, 0.9122340425531915]","[0.0026595744680851063, 0.0026595744680851063, 0.0, 0.0, 0.013297872340425532, 0.08776595744680851, 0.23670212765957446, 0.46808510638297873, 0.6223404255319149, 0.723404255319149, 0.7393617021276596, 0.773936170212766, 0.7898936170212766, 0.800531914893617, 0.800531914893617]",4.0,242.87576293945312,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1765,[ 0.77751643 -3.84607589  4.38141102],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.846075894428343,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05319148936170213, 0.05851063829787234, 0.04521276595744681, 0.06648936170212766, 0.10638297872340426, 0.24468085106382978, 0.4574468085106383, 0.6781914893617021, 0.8111702127659575, 0.8696808510638298, 0.898936170212766, 0.9175531914893617, 0.9388297872340425, 0.9308510638297872, 0.9414893617021277]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.013297872340425532, 0.07446808510638298, 0.21808510638297873, 0.4734042553191489, 0.6143617021276596, 0.7021276595744681, 0.75, 0.7792553191489362, 0.7978723404255319, 0.8111702127659575, 0.8031914893617021]",8.0,491.6507873535156,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1766,[ 0.78358545 -3.62717726  4.42935174],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.6271772631640418,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05053191489361702, 0.05585106382978723, 0.05585106382978723, 0.06648936170212766, 0.10638297872340426, 0.18617021276595744, 0.45478723404255317, 0.675531914893617, 0.8111702127659575, 0.8723404255319149, 0.9042553191489362, 0.925531914893617, 0.9361702127659575, 0.9308510638297872, 0.949468085106383]","[0.0, 0.0, 0.0, 0.0, 0.005319148936170213, 0.06382978723404255, 0.2047872340425532, 0.42819148936170215, 0.6037234042553191, 0.7393617021276596, 0.773936170212766, 0.7978723404255319, 0.8058510638297872, 0.824468085106383, 0.8031914893617021]",12.0,871.6275024414062,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1767,[ 0.80477248 -3.13124511  4.38523863],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.1312451121747684,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05585106382978723, 0.047872340425531915, 0.05319148936170213, 0.0797872340425532, 0.10106382978723404, 0.22340425531914893, 0.4787234042553192, 0.7047872340425532, 0.8271276595744681, 0.8856382978723404, 0.9202127659574468, 0.9388297872340425, 0.9601063829787234, 0.9574468085106383, 0.9574468085106383]","[0.0, 0.0, 0.0, 0.0, 0.013297872340425532, 0.09308510638297872, 0.23670212765957446, 0.4521276595744681, 0.6462765957446809, 0.7207446808510638, 0.776595744680851, 0.7952127659574468, 0.7952127659574468, 0.8138297872340425, 0.8271276595744681]",16.0,1452.0006103515625,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1768,[ 0.79583811 -3.69579059  4.43584308],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.695790585733219,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05585106382978723, 0.06382978723404255, 0.061170212765957445, 0.0851063829787234, 0.10904255319148937, 0.30319148936170215, 0.5425531914893617, 0.7553191489361702, 0.8670212765957447, 0.8936170212765957, 0.9335106382978723, 0.9468085106382979, 0.9627659574468085, 0.9707446808510638, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.013297872340425532, 0.09840425531914894, 0.28191489361702127, 0.4867021276595745, 0.6542553191489362, 0.7606382978723404, 0.773936170212766, 0.7898936170212766, 0.8085106382978723, 0.8191489361702128, 0.8271276595744681]",20.0,2338.45751953125,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1769,[ 0.79989149 -4.15638231  4.37567285],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-4.156382313816385,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.061170212765957445, 0.05585106382978723, 0.06382978723404255, 0.06382978723404255, 0.13031914893617022, 0.34308510638297873, 0.6356382978723404, 0.7845744680851063, 0.898936170212766, 0.9335106382978723, 0.9388297872340425, 0.9547872340425532, 0.9627659574468085, 0.9707446808510638, 0.9654255319148937]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.015957446808510637, 0.11702127659574468, 0.32180851063829785, 0.526595744680851, 0.6675531914893617, 0.7473404255319149, 0.8058510638297872, 0.800531914893617, 0.8271276595744681, 0.8297872340425532, 0.8404255319148937]",24.0,3692.423583984375,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1770,[ 0.81233876 -4.52145576  4.55275413],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-4.521455759452435,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05053191489361702, 0.05585106382978723, 0.05319148936170213, 0.06914893617021277, 0.1276595744680851, 0.3803191489361702, 0.6356382978723404, 0.8404255319148937, 0.9175531914893617, 0.949468085106383, 0.9547872340425532, 0.9707446808510638, 0.9654255319148937, 0.9654255319148937, 0.9680851063829787]","[0.0, 0.0, 0.0026595744680851063, 0.0, 0.023936170212765957, 0.11170212765957446, 0.31648936170212766, 0.5398936170212766, 0.6914893617021277, 0.7579787234042553, 0.8085106382978723, 0.8297872340425532, 0.8377659574468085, 0.8457446808510638, 0.8404255319148937]",28.0,5760.4599609375,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1771,[ 0.82633724 -4.51507651  4.43170164],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-4.5150765070782315,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
3.0,"[0.05585106382978723, 0.061170212765957445, 0.06382978723404255, 0.0797872340425532, 0.15425531914893617, 0.38563829787234044, 0.6781914893617021, 0.8351063829787234, 0.9281914893617021, 0.9627659574468085, 0.9654255319148937, 0.9707446808510638, 0.9707446808510638, 0.976063829787234, 0.9787234042553191]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.026595744680851064, 0.14893617021276595, 0.35638297872340424, 0.5345744680851063, 0.6808510638297872, 0.7712765957446809, 0.8111702127659575, 0.824468085106383, 0.8324468085106383, 0.8377659574468085, 0.8351063829787234]",32.0,8000.0,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_0016/EVAL_hopkins_moore_2009.json,1772,[ 0.82573803 -4.7854947   4.78288355],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-4.7854946964402485,hopkins_moore_2009,models/spkr_word_recognition/freq50mean_autocorr_block3concat/simplified_IHC0320/arch0_00??
