condition,correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,f0_shift_in_semitones,tag_expt,tag_model
harmonic,"[0.6890080428954424, 0.67828418230563, 0.6729222520107239, 0.7292225201072386, 0.7024128686327078, 0.6380697050938338, 0.6675603217158177, 0.6595174262734584, 0.6836461126005362, 0.6434316353887399]",0.6764075067024129,0.008572103948611241,"[0.8284182305630027, 0.7989276139410187, 0.8230563002680965, 0.806970509383378, 0.8284182305630027, 0.8042895442359249, 0.7935656836461126, 0.7989276139410187, 0.7828418230563002, 0.7694369973190348]",0.803485254691689,0.006114194274565598,-10.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.7024128686327078, 0.6943699731903485, 0.6809651474530831, 0.7238605898123325, 0.7211796246648794, 0.6890080428954424, 0.675603217158177, 0.6568364611260054, 0.7184986595174263, 0.6809651474530831]",0.6943699731903485,0.006979669058004161,"[0.8310991957104558, 0.8176943699731903, 0.8257372654155496, 0.8096514745308311, 0.8418230563002681, 0.8016085790884718, 0.8042895442359249, 0.7882037533512064, 0.7989276139410187, 0.774798927613941]",0.8093833780160857,0.006412558784954514,-9.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.7024128686327078, 0.710455764075067, 0.6916890080428955, 0.7372654155495979, 0.7453083109919572, 0.6970509383378016, 0.6916890080428955, 0.67828418230563, 0.7426273458445041, 0.6970509383378016]",0.7093833780160859,0.007542787433783452,"[0.8203753351206434, 0.8230563002680965, 0.8445040214477212, 0.8203753351206434, 0.8337801608579088, 0.7962466487935657, 0.8096514745308311, 0.8016085790884718, 0.7908847184986595, 0.7801608579088471]",0.8120643431635388,0.006337394334760105,-8.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.7345844504021448, 0.7426273458445041, 0.7211796246648794, 0.7828418230563002, 0.7694369973190348, 0.7158176943699732, 0.7131367292225201, 0.7131367292225201, 0.7506702412868632, 0.7453083109919572]",0.7388739946380698,0.007637483688729756,"[0.8498659517426274, 0.8203753351206434, 0.8445040214477212, 0.8257372654155496, 0.8471849865951743, 0.8123324396782842, 0.8042895442359249, 0.8042895442359249, 0.8123324396782842, 0.8123324396782842]",0.8233243967828419,0.005601584966654081,-7.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.7694369973190348, 0.7935656836461126, 0.7801608579088471, 0.8016085790884718, 0.8284182305630027, 0.7560321715817694, 0.7587131367292225, 0.739946380697051, 0.7855227882037533, 0.7801608579088471]",0.7793565683646112,0.008003577813246619,"[0.8257372654155496, 0.8471849865951743, 0.839142091152815, 0.8230563002680965, 0.8257372654155496, 0.8230563002680965, 0.8176943699731903, 0.8042895442359249, 0.7935656836461126, 0.8016085790884718]",0.8201072386058982,0.00524827412333368,-6.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.8176943699731903, 0.8364611260053619, 0.8176943699731903, 0.8471849865951743, 0.8498659517426274, 0.8310991957104558, 0.8230563002680965, 0.7935656836461126, 0.839142091152815, 0.8364611260053619]",0.8292225201072385,0.00530277165295686,"[0.8364611260053619, 0.8337801608579088, 0.8552278820375335, 0.8284182305630027, 0.8471849865951743, 0.8203753351206434, 0.8176943699731903, 0.8096514745308311, 0.8176943699731903, 0.7989276139410187]",0.8265415549597854,0.005421916465457564,-5.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.8766756032171582, 0.868632707774799, 0.8739946380697051, 0.8873994638069705, 0.8793565683646113, 0.8900804289544236, 0.871313672922252, 0.8525469168900804, 0.8820375335120644, 0.8954423592493298]",0.8777479892761395,0.003878915891726673,"[0.8310991957104558, 0.8257372654155496, 0.8552278820375335, 0.8284182305630027, 0.8445040214477212, 0.8498659517426274, 0.8257372654155496, 0.8176943699731903, 0.8150134048257373, 0.8203753351206434]",0.831367292225201,0.004386198817447016,-4.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.9142091152815014, 0.9088471849865952, 0.9142091152815014, 0.9115281501340483, 0.9249329758713136, 0.9168900804289544, 0.9088471849865952, 0.9061662198391421, 0.9142091152815014, 0.9302949061662198]",0.9150134048257372,0.0023660772644993103,"[0.839142091152815, 0.8471849865951743, 0.8579088471849866, 0.8310991957104558, 0.8364611260053619, 0.8284182305630027, 0.8337801608579088, 0.8176943699731903, 0.8123324396782842, 0.8150134048257373]",0.8319034852546917,0.004557640750670249,-3.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.9490616621983914, 0.9490616621983914, 0.9490616621983914, 0.938337801608579, 0.9571045576407506, 0.9436997319034852, 0.9276139410187667, 0.9276139410187667, 0.9410187667560321, 0.9463806970509383]",0.9428954423592494,0.0030186498219936632,"[0.8364611260053619, 0.8337801608579088, 0.8525469168900804, 0.8364611260053619, 0.839142091152815, 0.8471849865951743, 0.8310991957104558, 0.7962466487935657, 0.8150134048257373, 0.806970509383378]",0.8294906166219839,0.005654796074908436,-2.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
harmonic,"[0.9651474530831099, 0.9597855227882037, 0.967828418230563, 0.9517426273458445, 0.9731903485254692, 0.9544235924932976, 0.967828418230563, 0.9463806970509383, 0.9571045576407506, 0.9651474530831099]",0.9608579088471849,0.002657027479413494,"[0.8257372654155496, 0.8284182305630027, 0.8445040214477212, 0.839142091152815, 0.8337801608579088, 0.839142091152815, 0.8364611260053619, 0.7989276139410187, 0.8284182305630027, 0.8176943699731903]",0.8292225201072385,0.004173474326661529,-1.0,pitch_altered,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??
