azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
40,"[1.0133761008727615, 0.15574733107104768, 0.616110647484095, 0.14953399037140214, 1.1155308714337584, 0.49392611836032496, 0.13061100038908013, 0.5331072124876673, 0.4273474184808233, 0.27699745643237733]",0.4912288147383338,0.11000362058610791,"[3.0250714861925183, 1.2198825893653085, 1.9049981053525211, 1.1949000913125947, 3.666500395660252, 1.884659758678305, 1.2191987047587824, 1.995698578363619, 1.6740136308973745, 1.367978150653758]",1.9152901491235035,0.2614218216802183,models/sound_localization/IHC3000_delayed_integration/arch??
45,"[1.289722838065695, 0.20376812175147974, 0.7735202852803514, 0.16400535003811162, 1.1236514251157146, 0.6144379354739464, 0.198456317546549, 0.5736722754139142, 0.4597795627340806, 0.4208646896587404]",0.5821878801078583,0.12192193222546245,"[4.495026550747409, 1.2834118999675737, 2.2648925373195774, 1.2163647127480834, 3.4971375939191542, 2.2669157666383692, 1.322488585583174, 1.996538109211938, 1.6932850722366135, 1.5888591603371562]",2.162491998870905,0.33654587530671454,models/sound_localization/IHC3000_delayed_integration/arch??
50,"[1.8001778016705927, 0.24725311946171136, 0.891272936407239, 0.30003085879565566, 1.2453061501116507, 0.7313591830828754, 0.3283954932119204, 0.6096951787923128, 0.5089969566496958, 0.5224961478399193]",0.7184983826023573,0.15351751719327855,"[18.79402305791294, 1.3428927400495159, 2.5419947820895348, 1.4246998743180803, 4.016160955936384, 2.559422658395858, 1.517911479122543, 2.0497855764153066, 1.7344035968676577, 1.7322804016630073]",3.7713575122770826,1.6881074759276333,models/sound_localization/IHC3000_delayed_integration/arch??
55,"[1.9344366727332094, 0.3083590377836413, 1.0284551619274982, 0.6108703019047858, 1.4530443296438647, 0.9536841857823045, 0.5042214945456044, 0.7095543948266414, 0.5004860228437501, 0.6339883807188622]",0.8637099982710161,0.15772863836908435,"[19.489803462942046, 1.4343121341544751, 2.9861109156627315, 2.304212312665389, 5.578794197149652, 3.1562249149203185, 1.771533316829106, 2.2759891829055907, 1.6924806551404028, 1.9599310669281624]",4.264939215929788,1.7331661969586163,models/sound_localization/IHC3000_delayed_integration/arch??
60,"[2.2332627698895395, 0.49236598390531433, 1.3557166022105187, 1.2866354140814515, 1.792209632890203, 1.3670050798010607, 0.7921618342729849, 0.9080545394594405, 0.6352893209243294, 0.8022063547315458]",1.1664907532166389,0.17308339396405492,"[21.169237378746104, 1.756591772423753, 5.244809984488084, 16.641534125627803, 11.37485326583039, 6.424556988520397, 2.3670889112881297, 2.887285505325894, 2.0257304030102508, 2.4410386007031093]",7.233272693596392,2.178512685853269,models/sound_localization/IHC3000_delayed_integration/arch??
65,"[2.5327619011021896, 0.765773791059889, 1.897329712532277, 1.6371196996914648, 2.1441596745153713, 1.9512407883472986, 1.1306152324579821, 1.2920147554609331, 0.8507368294489193, 1.079139415288323]",1.5280891799904648,0.18771719753743785,"[17.497615333476258, 2.399723333624404, 18.615564889438144, 17.531713534323206, 20.108580517023242, 20.207282248241903, 3.336258021617477, 4.611369347436843, 2.7086813989621206, 3.350494739242373]",11.036728336338596,2.606357840552993,models/sound_localization/IHC3000_delayed_integration/arch??
70,"[3.5117575187630403, 1.1768572033470546, 2.4447517582058436, 2.3103649676845226, 2.5202591229261735, 2.589045969645667, 1.4937440756688012, 2.1323759024716726, 1.2223048818789035, 1.4950577680441441]",2.0896519168635823,0.23399834379801737,"[52.14584631739044, 3.681334634072364, 23.92314141837726, 22.780440981824473, 23.48405939448989, 30.848162288780973, 4.978560249048527, 20.902836199573088, 4.122008413655564, 5.118354377524152]",19.198474427473673,4.883311474975013,models/sound_localization/IHC3000_delayed_integration/arch??
75,"[4.002651235676938, 1.8310511234909785, 3.1711924930490074, 3.0255844626691992, 3.0150741099886686, 3.2781550456672353, 1.896464286427545, 2.8551916906578696, 1.845190783103866, 2.01405665195977]",2.6934611882691075,0.237675749440943,"[71.10620130184832, 7.318252448051472, 45.88863569356491, 38.02821327025609, 30.953255839023175, 49.610782358516765, 7.751166705104022, 28.317141066373768, 7.707019694829717, 8.61861482000958]",29.529928319757783,6.957288279073814,models/sound_localization/IHC3000_delayed_integration/arch??
0,"[-0.36450552008730863, -0.3395227159588836, -0.361841650355311, 0.47922779316362574, 0.3722130512652427, 1.0459061054746126, 0.09311260271400552, 0.6378378054090716, 0.6132584673555596, -0.7491830968894381]",0.14265028420911766,0.18228695299480613,"[0.7006942074432315, 0.7568099672713653, 0.7422131724589617, 1.9028197623001946, 1.5501968584167711, 3.448170284210685, 1.1517293274861438, 1.9955843213241862, 2.0822269604697117, 0.5219095857574486]",1.48523544471387,0.286472384637902,models/sound_localization/IHC3000/arch??
5,"[-0.2817020230006306, -0.27820356970591825, -0.319506722866055, 0.5038461826428081, 0.3817708109073504, 1.401383693535177, 0.2618185596069248, 0.5698943867650286, 0.5627840030777385, -0.7121748637163604]",0.2089910457246063,0.19444504665463708,"[0.7781662423080308, 0.8088142989921635, 0.7726303214547828, 1.9602177024532228, 1.5745036159950032, 17.00475382657382, 1.4960706803634922, 1.8774758931970927, 1.9504732350992955, 0.5366760435175029]",2.8759781859954403,1.5793207176512105,models/sound_localization/IHC3000/arch??
10,"[-0.10080159233937226, -0.19681104366687005, -0.2578370298689026, 0.4547436985125675, 0.4943397039772426, 1.3941409155866766, 0.8105345690805739, 0.47207247073892994, 0.41571213954548997, -0.6511245095992259]",0.283496932196711,0.18806208367032276,"[1.0126265083949002, 0.8816760171397641, 0.8304796274467742, 1.8293165685358426, 1.741962442371495, 17.129503688066404, 4.755552821118889, 1.691611878253198, 1.6345692743360065, 0.5745182408475646]",3.2081817066510836,1.5911128634742948,models/sound_localization/IHC3000/arch??
15,"[0.1360239674511836, -0.07318056320814782, -0.17225340213366688, 0.44512048865314696, 0.6330521032389839, 1.275659519115206, 1.3335460224575495, 0.44914114973890734, 0.3012813956034095, -0.560519543967623]",0.3767871136948949,0.1898848682487146,"[1.275948331642959, 1.0064923169507383, 0.912372166233761, 1.7108413930164634, 1.9527935484048022, 5.758382283016434, 15.095261462468919, 1.6179886177451304, 1.437235571938457, 0.6181385861666259]",3.1385454277584293,1.4055474002770472,models/sound_localization/IHC3000/arch??
20,"[0.31555220765975417, 0.02999230738590597, -0.06937842581990004, 0.4422931834745025, 0.7367322107589737, 1.1949565780187916, 1.6043356626664453, 0.5289632726707115, 0.31471449273883234, -0.456241271104018]",0.4641920218449999,0.19083905302606266,"[1.4745619914783104, 1.1415223913400483, 1.0181223134462483, 1.6409606935229188, 2.166706528873618, 4.888092473054431, 18.4334466753531, 1.7853879983025926, 1.4911175426310335, 0.6712340219471562]",3.471115262994945,1.7028144619770214,models/sound_localization/IHC3000/arch??
25,"[0.3576559720448027, 0.04945421784715657, 0.040921153358814, 0.4136589376143034, 0.8969070164708857, 1.1745697247375884, 1.4753196877280246, 0.7238567107588606, 0.3805095655161719, -0.34899625935990963]",0.5163856726716698,0.17599839057745117,"[1.4994967506993244, 1.182764227838621, 1.1328570952985135, 1.5622716417046523, 2.687090161997999, 5.107103140450429, 17.570415588224282, 2.2610046919081412, 1.6589467557319952, 0.7400458843258998]",3.5401995938179858,1.6071912089766933,models/sound_localization/IHC3000/arch??
30,"[0.35029541093397104, 0.10395089448487992, 0.15302119681647755, 0.43096169222471037, 1.0331415769026393, 0.9319185743234634, 1.49447601151311, 0.9445023999762295, 0.46407338375715074, -0.2364007028481765]",0.5669940438084455,0.16534409073018566,"[1.4641658771717792, 1.2311596346692895, 1.2469775794636022, 1.628089371006796, 3.3525720596238884, 2.8676796358169856, 17.456653157131203, 2.9981919825144736, 1.835781250745489, 0.8290625558648913]",3.4910333104008395,1.5749309901829205,models/sound_localization/IHC3000/arch??
35,"[0.2754160821369746, 0.11552448883524981, 0.23839054796393888, 0.4304048909428672, 1.1230837212749063, 0.6706721497931388, 1.4056114876568284, 0.9939454580547437, 0.5552405823913616, -0.17307107802984004]",0.563521833102017,0.15523261732015417,"[1.3484196576601597, 1.2073286976700845, 1.3679439584480573, 1.6761760403362251, 3.8139556260160687, 1.9867551433683464, 6.018136400182315, 3.1837125862948734, 1.9188625622812625, 0.8995591979886993]",2.342084987024609,0.49935268596716337,models/sound_localization/IHC3000/arch??
