f,itd_threshold_list,itd_threshold_mean,itd_threshold_sem,log_itd_threshold_list,log_itd_threshold_mean,log_itd_threshold_sem,tag_model
700.0,"[24.209743549953647, 23.5283632301639, 24.34677655554759, 22.23241716449791, 21.897940935011178, 25.371270011820062, 24.116568326883982, 21.204038270543496, 25.64925806078713, 30.64082518117482]",24.319720128638373,0.8395730543034342,"[3.1867551781616723, 3.158206639340784, 3.19239946111667, 3.10155145641034, 3.0863926111698157, 3.2336174319491087, 3.1828990867321263, 3.0541916479977047, 3.244514645693053, 3.4223332760102276]",3.18628614345815,0.03279468490014173,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
750.0,"[17.841333527937493, 20.049654658630192, 20.41894684328975, 18.153671356494375, 18.683289525763193, 20.27295413404711, 21.036834224663338, 18.437563940493284, 20.58913591755112, 26.240254320303343]",20.17236384491732,0.7642132968896632,"[2.8815178736821223, 2.998211929595774, 3.0164632366410573, 2.898872818850035, 2.927629516106714, 3.009287689067827, 3.046274911941319, 2.914390102052983, 3.0247635540372464, 3.2672946561136516]",2.998470628808873,0.03517723437150889,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
800.0,"[18.069153780085173, 27.591924106982997, 29.3205236330986, 25.130241642312978, 22.95349654157109, 26.2469192403014, 26.147183691892792, 24.473947468584523, 25.930889877834737, 35.596293871350895]",26.14605738540152,1.4173051792528344,"[2.8942062734071405, 3.317523125086505, 3.3782877361051766, 3.2240719672001967, 3.1334702796543006, 3.26754861987591, 3.263741486504287, 3.197609183143935, 3.255434917428146, 3.572241527701376]",3.2504135116106974,0.0546673517166403,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
850.0,"[31.815127925899358, 24.37057541727603, 36.47746753804795, 22.657780017988166, 22.534076160696916, 23.33316668098335, 25.101134385619382, 23.70734092764034, 23.821001892536774, 39.84374569377048]",27.366141664045877,2.0009477416523285,"[3.45994189760703, 3.193376479064396, 3.596694742238516, 3.12050328160322, 3.115028659548853, 3.1498758111121727, 3.2229130397626813, 3.1657847439626763, 3.1705676240223295, 3.6849654467148767]",3.2879651725636747,0.06678384664013198,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
900.0,"[92.76362193835034, 27.757798195039737, 54.4900289152556, 25.409047461810466, 23.661880048213526, 25.214305125138893, 25.23363014690569, 23.96355165156951, 24.96376293647714, 68.55669284703905]",39.20143192657999,7.711959292406841,"[4.530054557963446, 3.3235168167523006, 3.9980177292473824, 3.2351053098844633, 3.1638653164336805, 3.2274114971532786, 3.2281776344632735, 3.1765339947981817, 3.2174252908112426, 4.227661035772493]",3.5327769183279742,0.1624381598454593,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
950.0,"[121.29545667938005, 33.39861430085863, 73.07607635081014, 29.23194717850472, 24.409732794031843, 23.803922286334913, 25.967608162944593, 24.371552411678625, 25.07288718647832, 251.97931507802633]",63.26071124290481,23.227492082630068,"[4.798229360008474, 3.5085144111237594, 4.291501040287535, 3.3752621926589472, 3.1949819377669884, 3.169850369045925, 3.256849921431058, 3.1934165673595216, 3.2217870705363634, 5.5293470011187225]",3.7539739871337297,0.2631704003617501,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1000.0,"[84.05746123187144, 42.38343546510204, 69.30383213241628, 28.644251458170636, 21.727106600400127, 21.700778128258797, 21.148484267983125, 23.324900197326905, 22.035885485695182, 107.29389196225921]",44.16200269294838,9.952421063396455,"[4.431500627263539, 3.7467576129124605, 4.238500202393059, 3.354952775844138, 3.0785606330972204, 3.077348118348621, 3.051568237107769, 3.1495214679386976, 3.0926722829049713, 4.675571723153922]",3.5896953680964403,0.20118007797192955,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1050.0,"[107.89286411207163, 97.34285088848618, 71.5385653396828, 37.450930379243495, 24.24445298238577, 19.881174588729607, 21.130666064948862, 42.577064388848264, 22.401313025655114, 320.0]",76.44598817700518,28.933090065794417,"[4.681138735805311, 4.578239291920601, 4.270236679669526, 3.623031552892117, 3.188187848223422, 2.989773283423162, 3.050725353371986, 3.7513157136609196, 3.1091195743598186, 5.768320995793772]",3.9010089029120634,0.2882637999178427,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1100.0,"[70.30822455381448, 57.12366468305456, 55.307420306512554, 35.8191377639048, 22.90627343051874, 20.025981882336172, 24.132614055727085, 47.76945829789485, 24.56029626495161, 102.66776943733602]",46.062084067605085,8.343357667599232,"[4.252888784204209, 4.045218473589818, 4.0129070822845, 3.5784823249834044, 3.1314108219739865, 2.9970305245781295, 3.1835642059587026, 3.866386487540523, 3.2011311661113813, 4.631498235520531]",3.690051810674518,0.17527624959641916,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1150.0,"[76.80457607131534, 64.20794150041753, 46.480217265247454, 40.549126535343184, 28.498240178784346, 20.253527137245346, 37.63118207024189, 100.76791442571837, 33.0422579947253, 320.0]",76.82349831790387,28.10539099905904,"[4.341264222640473, 4.162126902429228, 3.8390267869141304, 3.7025142398939903, 3.3498423372552817, 3.0083289580020938, 3.627833017086773, 4.612819995697453, 3.4977872875623333, 5.768320995793772]",3.9909864743275527,0.24845509148092623,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1200.0,"[49.40172436497663, 67.50920894706036, 53.4293398057086, 45.58104979223541, 52.75860668683409, 18.230797808532355, 61.64599015458318, 51.32976544083379, 24.04783741511767, 320.0]",74.39343204158821,27.71193621304498,"[3.8999853297582865, 4.212264017418255, 3.9783600296460753, 3.819492055413551, 3.9657269189870235, 2.9031123512289927, 4.121408185395806, 3.938270806930635, 3.1800450721393636, 5.768320995793772]",3.9786985762711757,0.23818166908558863,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1250.0,"[67.5390226653288, 82.27780471060504, 91.41504792296179, 44.18741130237738, 68.09498927102374, 22.758427430074846, 78.20006753429199, 58.26104950704922, 27.696836842716156, 320.0]",86.04306571864291,26.964563630058713,"[4.212705544395643, 4.410101383711817, 4.515410103015541, 3.7884399363535577, 4.220903631461964, 3.12493551328911, 4.359270511160765, 4.064933765564867, 3.321318213268981, 5.768320995793772]",4.178633959801602,0.2294952720068997,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1300.0,"[57.15082163004596, 98.30983526755766, 93.18971754461255, 44.832048900499295, 85.4777313379735, 21.164744920382613, 96.97848173326769, 61.30705239768216, 22.727912120592766, 320.0]",90.11383458526142,27.13230381256536,"[4.045693766866188, 4.588124075734642, 4.534637388830555, 3.8029232609038965, 4.448255889831708, 3.052336821945743, 4.574489116092374, 4.115894883595244, 3.1235937779742238, 5.768320995793772]",4.205426997756835,0.24918014308873515,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1350.0,"[88.66727876677166, 99.56991885775378, 103.26577814787261, 92.6771280988967, 91.20759866344929, 24.48045940403196, 95.71224981920687, 70.05520473764469, 23.836579349463022, 320.0]",100.94721958450906,26.051313166713076,"[4.484890923474404, 4.600860099473014, 4.637306035157623, 4.5291217118041365, 4.513138212287649, 3.1978752239726105, 4.561346292557877, 4.249283570346148, 3.1712213482389195, 5.768320995793772]",4.371336441310616,0.23572991716804662,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1400.0,"[62.4538812515946, 81.6615719321867, 88.64333850977387, 134.71231650726241, 68.9178910120769, 23.768338947427942, 83.38258621787351, 50.866370408354605, 22.832542170797012, 320.0]",93.72388369573476,27.18424042781929,"[4.134428384385681, 4.402583535426787, 4.484620885983012, 4.903141515815777, 4.232915810670295, 3.1683543987211933, 4.4234394892164515, 3.929202005952074, 3.128186806545618, 5.768320995793772]",4.257519382851067,0.24460215078613326,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1450.0,"[85.03736838591341, 261.0365608280883, 128.64732835252565, 173.99406260602973, 127.3260129492872, 20.115102240965783, 154.71221711092267, 87.99468498956765, 19.728665236257793, 320.0]",137.8592002699558,30.40990406798323,"[4.44309078795178, 5.564660477313539, 4.85707477172258, 5.159021175678475, 4.846750828358792, 3.0014708882108962, 5.041566727382108, 4.477276414808361, 2.9820726662639405, 5.768320995793772]",4.614130573348424,0.30075224339215123,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1500.0,"[77.93036669549534, 96.90883147511288, 77.41525788367198, 95.31854686027619, 91.11507765540405, 20.806753924237526, 176.74286793528276, 55.86007002114064, 21.27909374092789, 320.0]",103.33768661915492,27.829341718995156,"[4.355815693291535, 4.573770654837759, 4.34918389144806, 4.557224407257814, 4.512123297216688, 3.0352776418971072, 5.174695952818467, 4.022849814027535, 3.0577250762041652, 5.768320995793772]",4.34069874247929,0.2649050782259525,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1550.0,"[87.89253688889094, 248.7252514055543, 254.0671244048103, 145.65810222458768, 163.5506541349292, 19.793563107651373, 320.0, 88.65125967163418, 19.980640496836887, 320.0]",166.8319132334895,36.09027814423536,"[4.476114896523292, 5.516348879252093, 5.53759850141583, 4.981262109902118, 5.09712275357853, 2.985356789272305, 5.768320995793772, 4.484710241913162, 2.9947638296053394, 5.768320995793772]",4.760991999305022,0.3298911742249189,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1600.0,"[88.40580983745726, 97.06625967484776, 105.33991623788813, 132.44887341809473, 136.04050802807132, 20.040751128159076, 94.63195835299585, 77.57908925680002, 20.066645947400072, 192.09620517307025]",96.37160170547845,16.393694022615485,"[4.481937689627174, 4.575393834735409, 4.657192418895331, 4.886196709967256, 4.912952694534193, 2.9977677569593157, 4.549995245149035, 4.35129792253585, 2.9990590311245415, 5.257996315144565]",4.366978961867266,0.24226128101278524,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1650.0,"[114.8955892356884, 198.88042049500004, 165.6998876584159, 115.69192291552932, 122.53590292381075, 20.577843051872435, 272.2378672188702, 104.03921485869436, 20.24386861339463, 320.0]",145.48025169712758,30.756459026094145,"[4.744023796264861, 5.292703742075331, 5.110178246450488, 4.750930821179606, 4.808404072136069, 3.0242149169380634, 5.606676195967393, 4.644767894018857, 3.0078519631803373, 5.768320995793772]",4.675807264400477,0.3012569446734251,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1700.0,"[152.01718250190535, 116.07632259331785, 232.5938300159201, 100.79402688909987, 100.76710356831839, 20.240028658633577, 114.26551990748656, 65.94141980621139, 20.499131101929027, 158.91257248042416]",108.21071375232464,20.382084788265352,"[5.0239935572331165, 4.7542479281406, 5.449293713575904, 4.613079096828919, 4.612811948883475, 3.0076622603586562, 4.738524862189694, 4.188766769201457, 3.0203824999743265, 5.068354192378861]",4.4477116828765,0.26101658410201084,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1750.0,"[320.0, 201.17606285420857, 320.0, 233.24167562892328, 124.80703844880455, 22.36671856900787, 125.29134859140632, 88.34729584372627, 22.832740379909918, 320.0]",177.80628803159868,37.42018091497705,"[5.768320995793772, 5.304180459250295, 5.768320995793772, 5.45207515046862, 4.826768852171989, 3.1075740758287953, 4.830641813958861, 4.481275590982365, 3.1281954874998066, 5.768320995793772]",4.843567441754205,0.3203441196269217,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1800.0,"[320.0, 187.83814233321306, 320.0, 126.74878188750239, 143.2030779892363, 22.489304537451112, 99.79640185145335, 80.07723291679135, 22.07702882429829, 320.0]",164.22299703399457,37.52457927765766,"[5.768320995793772, 5.235580646967815, 5.768320995793772, 4.842207032070102, 4.964263748633788, 3.113039842302835, 4.60313212907482, 4.38299158042384, 3.0945376482374063, 5.768320995793772]",4.754071561509193,0.3158309382193201,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
