azim_err_lag_list,azim_err_lag_mean,azim_err_lag_sem,azim_err_lead_list,azim_err_lead_mean,azim_err_lead_sem,delay,tag_model
"[32.57043649282787, 30.489069079480487, 30.584582172504277, 31.93743884534262, 33.665016461206925, 31.224989991991986, 40.07804885470349, 34.0587727318528, 30.55050463303893, 36.46345202162479]",33.162231128457414,0.9775115751575532,"[28.650189062785138, 30.32463245174347, 30.855847635956028, 30.110906108363235, 27.080128015453198, 30.02776492958919, 15.370426148939398, 26.58320271650251, 30.550504633038933, 23.22893310794392]",27.278253481031506,1.5237704341749918,0.1,models/sound_localization/IHC3000_delayed_integration/arch??
"[0.0, 0.0, 33.99754893125875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.3997548931258748,3.3997548931258748,"[0.0, 0.0, 34.15040263305837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.415040263305837,3.415040263305837,0.0,models/sound_localization/IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 38.067921753973735, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",42.69123636584453,0.5137016235412004,"[0.0, 0.0, 28.50438562747845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.850438562747845,2.850438562747845,0.005,models/sound_localization/IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 35.2017991964426, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",42.40462411009142,0.8003138792943135,"[0.0, 0.0, 24.815989469157444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.4815989469157445,2.4815989469157445,0.01,models/sound_localization/IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 35.02380143083653, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",42.38682433353081,0.8181136558549209,"[0.0, 0.0, 22.43509156061845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.2435091560618448,2.243509156061845,0.025,models/sound_localization/IHC3000/arch??
"[43.20493798938573, 42.89522117905443, 17.017148213885115, 43.20493798938573, 42.426406871192846, 36.60601043544625, 43.20493798938573, 43.20493798938573, 42.89522117905443, 43.20493798938573]",39.786469782556175,2.6104169294154906,"[0.0, 5.163977794943222, 35.443617196894564, 0.0, 8.164965809277259, 22.949219304078007, 0.0, 0.0, 5.163977794943222, 0.0]",7.688575790013627,3.8177577623504355,0.05,models/sound_localization/IHC3000/arch??
"[32.659863237109036, 31.93743884534262, 30.448043177408515, 32.863353450309965, 33.96076167186674, 31.62277660168379, 37.25475361167574, 42.50490167812021, 31.091263510296045, 30.828828499744624]",33.51719842835573,1.1772099555128948,"[28.2842712474619, 29.097537123726923, 30.55732318119504, 28.04757862395017, 26.708300832013503, 29.439202887759485, 22.38861317723811, 7.745966692414833, 29.999999999999996, 30.338369545291428]",26.26071633110514,2.192152107892244,0.1,models/sound_localization/IHC3000/arch??
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.9128709291752759, 0.0, 0.0, 0.912870929175277, 0.0, 0.0, 0.0, 0.0]",0.1825741858350553,0.12171612389003687,0.0,models/sound_localization/IHC1000/arch??
"[42.98255460067491, 43.20493798938573, 42.98255460067491, 43.20493798938573, 43.02615483633182, 43.20493798938573, 43.06003560921271, 43.20493798938573, 43.20493798938573, 42.573465914816005]",43.0649455508639,0.06277358001166099,"[0.9128709291752759, 0.0, 0.9128709291752759, 0.0, 1.1180339887498947, 0.0, 0.9128709291752765, 0.0, 0.0, 1.5811388300841882]",0.5437785606359912,0.19128363959565642,0.005,models/sound_localization/IHC1000/arch??
"[43.20493798938573, 43.20493798938573, 43.093889744757696, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",43.193833164922935,0.011104824462804159,"[0.0, 0.0, 0.6454972243679021, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.06454972243679022,0.06454972243679022,0.01,models/sound_localization/IHC1000/arch??
"[43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.24831403264949, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.36857541277247]",43.22563933605078,0.01645641716251488,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.6454972243679029, 0.0, 0.0, 0.0, 0.912870929175277]",0.15583681535431798,0.1057853628712531,0.025,models/sound_localization/IHC1000/arch??
"[43.20493798938573, 41.808093315369774, 41.55317877932646, 43.20493798938573, 43.12771730569565, 41.79314138308661, 43.20493798938573, 42.968011357287644, 35.68379650952702, 43.20493798938573]",41.97536906078361,0.7316945485203857,"[0.0, 11.161690433502146, 11.832159566199232, 0.0, 2.581988897471611, 10.95445115010332, 0.0, 1.707825127659933, 24.358434541926812, 0.0]",6.259654971686305,2.5726492967247014,0.05,models/sound_localization/IHC1000/arch??
"[30.55732318119504, 30.584582172504277, 30.55050463303893, 38.25898587260253, 33.06559138036598, 31.124748994971828, 37.45552918684592, 43.39738855430512, 31.091263510296045, 32.48717695748073]",33.85730944436064,1.3884149177899194,"[30.61181689043192, 30.639027399707057, 30.550504633038933, 20.17630623611104, 27.808871486152277, 30.31088913245535, 22.4258035902098, 1.8257418583505538, 29.999999999999996, 29.13331426391443]",25.348227549037137,2.863577666245263,0.1,models/sound_localization/IHC1000/arch??
"[0.0, 0.0, 0.6454972243679021, 1.1180339887498951, 0.6454972243679029, 0.0, 1.825741858350554, 0.0, 0.0, 1.8257418583505527]",0.6060512154186807,0.23751068380403428,"[0.0, 0.6454972243679029, 0.0, 1.1180339887498951, 0.0, 0.0, 1.2909944487358058, 0.0, 0.0, 1.5811388300841882]",0.4635664491937792,0.20233071950953202,0.0,models/sound_localization/IHC0320/arch??
