deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,snr,tag_model
"[11.19954233409611, 12.807322654462242, 12.992448512585812, 12.803432494279177, 13.904805491990846, 11.958810068649885, 15.449427917620138, 15.174828375286042, 12.904118993135011, 17.319679633867278]",13.651441647597256,0.5809461279001298,"[8.305949656750572, 8.592448512585813, 8.655148741418765, 8.846910755148741, 8.997025171624713, 8.606636155606408, 9.797711670480549, 8.91350114416476, 8.47025171624714, 10.129977116704806]",8.931556064073227,0.18557324193542465,"[15.437685647714225, 16.79563563253418, 17.05133094330741, 17.01296331224791, 17.820098315138253, 16.180868263136457, 19.78121516443099, 18.813531295831837, 16.69889650141493, 21.481209474761243]",17.707343455051742,0.577557495775768,13.6,models/sound_localization/IHC0050/arch??
"[5.2295194508009155, 4.817620137299771, 5.609153318077803, 4.878032036613273, 6.013272311212814, 5.3130434782608695, 6.113043478260869, 6.467505720823799, 5.607551487414188, 7.274599542334096]",5.73233409610984,0.23964860774173727,"[4.945995423340961, 4.215560640732265, 4.9649885583524025, 4.394279176201373, 4.596338672768879, 4.718993135011441, 5.508466819221968, 5.544393592677346, 4.3826086956521735, 5.935011441647597]",4.92066361556064,0.1818323750388955,"[8.385977133511426, 7.459923947965376, 8.68480587489412, 7.617135331771011, 8.601597824184951, 8.221868025136278, 9.524297088162077, 9.798541166537811, 8.116643326702022, 10.74977163359917]",8.716056135246424,0.32443229130565604,inf,models/sound_localization/IHC0050/arch??
"[44.341647597254, 44.81601830663615, 45.360411899313505, 48.01762013729977, 47.58741418764302, 44.35263157894737, 47.83729977116705, 42.35995423340961, 44.796338672768876, 48.20983981693364]",45.7679176201373,0.6349513519900218,"[15.575057208237986, 15.362700228832953, 16.101830663615562, 15.444393592677345, 14.735469107551488, 16.409839816933637, 16.068421052631578, 15.10091533180778, 15.971853546910754, 15.41578947368421]",15.61862700228833,0.1623944991226479,"[45.53319448132245, 46.514840170273324, 47.807195333114954, 48.8671849186206, 47.717289559338745, 47.02038772188869, 49.91114490940776, 43.97935945253565, 45.40954453486436, 48.79299745498996]",47.15531385363565,0.5787146755881186,-13.6,models/sound_localization/IHC0320/arch??
"[26.223569794050345, 27.975743707093823, 27.029977116704806, 42.637986270022886, 32.247597254004575, 27.098855835240276, 40.449427917620135, 27.00320366132723, 31.123569794050344, 45.59519450800915]",32.73851258581236,2.3286057428535005,"[14.178260869565218, 14.372540045766591, 14.867734553775744, 14.963386727688787, 13.841189931350115, 14.827917620137299, 15.170022883295195, 14.2837528604119, 14.367048054919909, 15.299313501144164]",14.617116704805492,0.15005137262736423,"[30.842242708347797, 32.75791346919771, 32.404119199990596, 44.24291504681371, 35.36691708962239, 32.48153186857337, 43.38662691513057, 31.688266615824595, 34.28391141186139, 46.9335568584968]",36.43880011838589,1.8987875565852057,-6.8,models/sound_localization/IHC0320/arch??
"[15.571395881006865, 16.571395881006865, 16.670480549199084, 28.313958810068648, 17.9512585812357, 16.484897025171623, 25.202059496567507, 17.847597254004576, 18.598398169336384, 36.81212814645309]",21.002356979405032,2.196937180588223,"[11.885812356979406, 12.147139588100686, 12.38878718535469, 13.11441647597254, 11.786727688787185, 12.205949656750573, 13.24508009153318, 12.437528604118993, 11.769107551487414, 14.290389016018306]",12.527093821510297,0.2533824226113252,"[21.395396578534804, 22.49319053852036, 22.742569896135002, 31.78370755901112, 23.132657377739676, 22.459944143925977, 29.962470452484112, 23.540576223611385, 23.37438541964708, 39.579882255866934]",26.046478044547644,1.859961910528672,0.0,models/sound_localization/IHC0320/arch??
"[10.865903890160183, 11.154233409610985, 12.207551487414188, 15.948741418764302, 11.618077803203661, 11.722196796338674, 14.915560640732265, 13.332951945080092, 12.139359267734553, 24.042105263157893]",13.79466819221968,1.2514915830446431,"[9.682379862700229, 9.68924485125858, 10.048054919908466, 10.339816933638444, 9.712356979405035, 9.903890160183066, 10.949885583524027, 10.323340961098399, 9.171853546910755, 12.123340961098398]",10.19441647597254,0.2631110764353395,"[16.340604800432075, 16.62683761788143, 17.686234736704403, 20.562114239973372, 16.93421922094588, 17.2620908745006, 20.469703750643404, 18.73812522385978, 16.817411469684586, 28.232995225748247]",18.967033716037378,1.1371889036194367,6.8,models/sound_localization/IHC0320/arch??
"[8.550343249427918, 8.3045766590389, 9.568649885583524, 9.408466819221967, 8.553318077803203, 9.070251716247139, 9.991762013729977, 10.57116704805492, 8.75766590389016, 14.321967963386728]",9.709816933638443,0.5595265707517151,"[7.962700228832952, 7.770938215102975, 8.334096109839816, 8.134324942791762, 7.754919908466819, 8.073455377574371, 8.873913043478261, 8.526544622425629, 7.275057208237986, 9.793363844393593]",8.249931350114418,0.22128403813069564,"[13.31382484886311, 13.004465613431096, 14.38200681376112, 14.076738588813928, 13.173628159510384, 13.866367843138931, 15.16780037330809, 15.281556149970191, 12.875942630756285, 19.058368028700176]",14.420069905025333,0.5812499916485132,13.6,models/sound_localization/IHC0320/arch??
"[5.260183066361556, 4.118306636155606, 5.645080091533181, 2.9945080091533183, 3.7324942791762012, 5.34141876430206, 4.273684210526316, 6.002974828375286, 3.840732265446224, 4.123798627002288]",4.533318077803203,0.30683955062342266,"[4.935469107551487, 4.108695652173913, 5.114645308924485, 3.5443935926773453, 3.937528604118993, 4.994508009153318, 4.661784897025171, 5.174370709382151, 3.7093821510297484, 4.786270022883295]",4.496704805491991,0.1938643819409419,"[8.397973835441125, 6.871571190625134, 8.85458536562613, 5.544041360805753, 6.452005212231008, 8.554858629505263, 7.473026399571116, 9.129219618748131, 6.307717914838865, 7.45326156872185]",7.503826109611438,0.3822685805915024,inf,models/sound_localization/IHC0320/arch??
"[41.18421052631579, 44.243478260869566, 54.188329519450804, 50.83798627002288, 43.80732265446224, 48.935011441647596, 51.2324942791762, 44.778032036613276, 44.07734553775744, 51.323340961098395]",47.46075514874142,1.3732478923901554,"[14.723340961098398, 15.076201372997712, 15.561556064073226, 15.960640732265446, 14.972540045766591, 15.64645308924485, 16.14782608695652, 15.81807780320366, 14.100228832951945, 14.897940503432494]",15.290480549199083,0.20281762923515995,"[43.49623636489779, 46.05260612752413, 53.82466301080049, 50.78930872310282, 45.566747015360185, 50.14159995700371, 53.05044060202454, 47.98909358284565, 45.04535522799852, 51.1307098006251]",48.70867604121829,1.1318935171535345,-13.6,models/sound_localization/IHC1000/arch??
"[21.865903890160183, 23.615331807780322, 31.123798627002287, 34.42974828375286, 25.610983981693362, 29.002974828375287, 39.08443935926773, 24.009610983981695, 23.956064073226546, 40.0441647597254]",29.27430205949657,2.10457293819517,"[13.596109839816934, 14.020137299771166, 14.3720823798627, 15.20137299771167, 13.859954233409612, 14.322196796338673, 15.20045766590389, 14.445308924485126, 13.38787185354691, 14.801830663615561]",14.320732265446225,0.19711921963189058,"[27.630491354468283, 29.341071029877128, 35.43807809753128, 37.72691819869353, 30.795277864416224, 33.606708338914, 42.604601213965516, 30.18628595406255, 29.047409239726043, 42.40568425303704]",33.87825255446916,1.7393428042945687,-6.8,models/sound_localization/IHC1000/arch??
