condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
High-pass,7500.0,"[77.0, 88.57142857142857, 90.0, 90.0, 97.14285714285714, 91.42857142857143, 84.57142857142857, 95.14285714285714, 94.42857142857143, 48.42857142857143]",85.67142857142856,4.522107449222423,models/sound_localization/IHC0320/arch??
High-pass,10000.0,"[10.857142857142858, 14.285714285714286, 13.285714285714286, 15.571428571428571, 24.714285714285715, 7.142857142857143, 7.142857142857143, 24.714285714285715, 8.142857142857142, 9.0]",13.485714285714286,2.0902755083194826,models/sound_localization/IHC0320/arch??
High-pass,13200.0,"[9.571428571428571, 12.428571428571429, 8.0, 7.285714285714286, 11.0, 7.428571428571429, 7.142857142857143, 12.857142857142858, 7.857142857142857, 7.142857142857143]",9.071428571428573,0.7111837406220491,models/sound_localization/IHC0320/arch??
High-pass,15300.0,"[7.142857142857143, 8.285714285714286, 7.142857142857143, 7.142857142857143, 7.428571428571429, 7.142857142857143, 7.142857142857143, 8.142857142857142, 7.142857142857143, 6.142857142857143]",7.2857142857142865,0.18808016817268086,models/sound_localization/IHC0320/arch??
Low-pass,3900.0,"[21.428571428571427, 24.0, 21.714285714285715, 25.428571428571427, 21.285714285714285, 22.714285714285715, 7.285714285714286, 15.714285714285714, 13.428571428571429, 17.285714285714285]",19.02857142857143,1.7657358605555078,models/sound_localization/IHC0320/arch??
Low-pass,6000.0,"[48.285714285714285, 41.57142857142857, 39.285714285714285, 43.285714285714285, 36.285714285714285, 55.0, 18.285714285714285, 35.714285714285715, 47.0, 14.142857142857142]",37.885714285714286,4.060640120220093,models/sound_localization/IHC0320/arch??
Low-pass,8000.0,"[40.42857142857143, 45.714285714285715, 25.285714285714285, 32.285714285714285, 34.285714285714285, 50.42857142857143, 14.571428571428571, 56.0, 66.14285714285714, 23.857142857142858]",38.9,5.03853855282455,models/sound_localization/IHC0320/arch??
Low-pass,10300.0,"[32.714285714285715, 41.0, 31.714285714285715, 31.0, 35.0, 33.285714285714285, 21.285714285714285, 58.714285714285715, 59.42857142857143, 29.571428571428573]",37.371428571428574,3.93191488317411,models/sound_localization/IHC0320/arch??
Low-pass,12000.0,"[74.0, 70.14285714285714, 62.714285714285715, 49.0, 69.57142857142857, 51.714285714285715, 34.142857142857146, 70.57142857142857, 86.28571428571429, 49.142857142857146]",61.728571428571435,4.883980477655745,models/sound_localization/IHC0320/arch??
Low-pass,14500.0,"[77.14285714285714, 92.42857142857143, 76.42857142857143, 78.28571428571429, 87.42857142857143, 82.57142857142857, 71.71428571428571, 93.42857142857143, 97.71428571428571, 49.0]",80.61428571428571,4.422322780565684,models/sound_localization/IHC0320/arch??
Low-pass,16000.0,"[99.57142857142857, 99.85714285714286, 99.42857142857143, 98.42857142857143, 97.57142857142857, 100.0, 97.71428571428571, 99.71428571428571, 100.0, 67.0]",95.92857142857142,3.227380732816911,models/sound_localization/IHC0320/arch??
High-pass,3800.0,"[88.0, 86.28571428571429, 99.71428571428571, 85.42857142857143, 89.71428571428571, 92.85714285714286, 81.42857142857143, 93.57142857142857, 98.28571428571429, 78.71428571428571]",89.4,2.160120933878377,models/sound_localization/IHC1000/arch??
