background_condition,correct_word,fn_eval,snr,tag_expt,tag_model
0,0.25,0013,0.0,kell_like,human
0,0.4,0014,0.0,kell_like,human
0,0.8,0015,0.0,kell_like,human
0,0.6428571428571429,0016,0.0,kell_like,human
0,0.5333333333333333,0017,0.0,kell_like,human
0,0.4285714285714285,0018,0.0,kell_like,human
0,0.7333333333333333,0019,0.0,kell_like,human
0,0.5714285714285714,0020,0.0,kell_like,human
0,0.7142857142857143,0021,0.0,kell_like,human
0,0.625,0022,0.0,kell_like,human
0,0.4,0023,0.0,kell_like,human
0,0.5333333333333333,0024,0.0,kell_like,human
0,0.4615384615384615,0025,0.0,kell_like,human
0,0.5454545454545454,0026,0.0,kell_like,human
0,0.7857142857142857,0027,0.0,kell_like,human
0,0.7142857142857143,0028,0.0,kell_like,human
0,0.8,0029,0.0,kell_like,human
0,0.7333333333333333,0030,0.0,kell_like,human
0,0.4285714285714285,0031,0.0,kell_like,human
0,0.7142857142857143,0032,0.0,kell_like,human
0,0.7777777777777778,0033,0.0,kell_like,human
0,0.5714285714285714,0034,0.0,kell_like,human
0,0.6428571428571429,0035,0.0,kell_like,human
0,0.6,0036,0.0,kell_like,human
0,0.6,0037,0.0,kell_like,human
0,0.3333333333333333,0038,0.0,kell_like,human
0,0.6,0039,0.0,kell_like,human
0,0.3571428571428571,0040,0.0,kell_like,human
0,0.4285714285714285,0041,0.0,kell_like,human
0,0.6428571428571429,0042,0.0,kell_like,human
0,0.7857142857142857,0043,0.0,kell_like,human
0,0.4285714285714285,0000,3.0,kell_like,human
0,0.5333333333333333,0001,3.0,kell_like,human
0,0.6,0002,3.0,kell_like,human
0,0.4,0003,3.0,kell_like,human
0,0.6363636363636364,0004,3.0,kell_like,human
0,0.6,0005,3.0,kell_like,human
0,0.6428571428571429,0006,3.0,kell_like,human
0,0.7857142857142857,0007,3.0,kell_like,human
0,0.6666666666666666,0008,3.0,kell_like,human
0,0.7333333333333333,0009,3.0,kell_like,human
0,0.6666666666666666,0010,3.0,kell_like,human
0,0.7333333333333333,0011,3.0,kell_like,human
0,0.7857142857142857,0012,3.0,kell_like,human
0,0.5454545454545454,0013,3.0,kell_like,human
0,1.0,0014,3.0,kell_like,human
0,0.625,0015,3.0,kell_like,human
0,0.8,0016,3.0,kell_like,human
0,0.6666666666666666,0017,3.0,kell_like,human
0,0.7857142857142857,0018,3.0,kell_like,human
0,0.6428571428571429,0019,3.0,kell_like,human
0,0.6923076923076923,0020,3.0,kell_like,human
0,0.5,0021,3.0,kell_like,human
0,0.7142857142857143,0022,3.0,kell_like,human
0,0.6,0023,3.0,kell_like,human
0,0.625,0024,3.0,kell_like,human
0,0.9285714285714286,0025,3.0,kell_like,human
0,0.3333333333333333,0026,3.0,kell_like,human
0,0.7142857142857143,0027,3.0,kell_like,human
0,0.0,0028,3.0,kell_like,human
0,0.6,0029,3.0,kell_like,human
0,0.6666666666666666,0030,3.0,kell_like,human
0,0.6666666666666666,0031,3.0,kell_like,human
0,0.8,0032,3.0,kell_like,human
0,0.8666666666666667,0033,3.0,kell_like,human
0,0.6428571428571429,0034,3.0,kell_like,human
0,0.6363636363636364,0035,3.0,kell_like,human
0,0.5333333333333333,0036,3.0,kell_like,human
0,0.7142857142857143,0037,3.0,kell_like,human
0,0.5833333333333334,0038,3.0,kell_like,human
0,0.8333333333333334,0039,3.0,kell_like,human
0,0.7333333333333333,0040,3.0,kell_like,human
0,0.6428571428571429,0041,3.0,kell_like,human
0,0.6428571428571429,0042,3.0,kell_like,human
0,0.9333333333333332,0043,3.0,kell_like,human
0,0.8,0000,inf,kell_like,human
0,1.0,0001,inf,kell_like,human
0,0.8571428571428571,0002,inf,kell_like,human
0,0.6428571428571429,0003,inf,kell_like,human
0,0.8333333333333334,0004,inf,kell_like,human
0,0.7142857142857143,0005,inf,kell_like,human
0,0.8461538461538461,0006,inf,kell_like,human
0,0.7333333333333333,0007,inf,kell_like,human
0,0.7142857142857143,0008,inf,kell_like,human
0,0.7857142857142857,0009,inf,kell_like,human
0,1.0,0010,inf,kell_like,human
0,0.9333333333333332,0011,inf,kell_like,human
0,1.0,0012,inf,kell_like,human
0,0.5,0013,inf,kell_like,human
0,0.8571428571428571,0014,inf,kell_like,human
0,0.6666666666666666,0015,inf,kell_like,human
0,0.7333333333333333,0016,inf,kell_like,human
0,0.7857142857142857,0017,inf,kell_like,human
0,0.7857142857142857,0018,inf,kell_like,human
0,0.9,0019,inf,kell_like,human
0,1.0,0020,inf,kell_like,human
0,0.9166666666666666,0021,inf,kell_like,human
0,0.7333333333333333,0022,inf,kell_like,human
0,0.8666666666666667,0023,inf,kell_like,human
0,0.7333333333333333,0024,inf,kell_like,human
0,0.9285714285714286,0025,inf,kell_like,human
0,0.8666666666666667,0026,inf,kell_like,human
0,0.6,0027,inf,kell_like,human
0,0.7142857142857143,0028,inf,kell_like,human
0,0.7142857142857143,0029,inf,kell_like,human
0,1.0,0030,inf,kell_like,human
0,0.8571428571428571,0031,inf,kell_like,human
0,1.0,0032,inf,kell_like,human
0,0.7142857142857143,0033,inf,kell_like,human
0,0.6666666666666666,0034,inf,kell_like,human
0,0.9285714285714286,0035,inf,kell_like,human
0,0.9333333333333332,0036,inf,kell_like,human
0,0.7857142857142857,0037,inf,kell_like,human
0,0.9333333333333332,0038,inf,kell_like,human
0,0.8666666666666667,0039,inf,kell_like,human
0,0.8571428571428571,0040,inf,kell_like,human
0,0.8571428571428571,0041,inf,kell_like,human
0,0.4666666666666667,0042,inf,kell_like,human
0,0.8666666666666667,0043,inf,kell_like,human
1,0.0,0000,-9.0,kell_like,human
1,0.0,0001,-9.0,kell_like,human
1,0.0,0002,-9.0,kell_like,human
1,0.0,0003,-9.0,kell_like,human
1,0.0,0004,-9.0,kell_like,human
1,0.1333333333333333,0005,-9.0,kell_like,human
1,0.0714285714285714,0006,-9.0,kell_like,human
1,0.0,0007,-9.0,kell_like,human
1,0.0,0008,-9.0,kell_like,human
1,0.0,0009,-9.0,kell_like,human
1,0.0,0010,-9.0,kell_like,human
1,0.0666666666666666,0011,-9.0,kell_like,human
1,0.0,0012,-9.0,kell_like,human
1,0.0,0013,-9.0,kell_like,human
1,0.0666666666666666,0014,-9.0,kell_like,human
