index_texture,snr,correct_word,fn_eval,tag_expt,tag_model
38.0,-3.0,0.375,56721761980a3c0011277389,speech_in_synthetic_textures,human
39.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
40.0,-3.0,0.2222222222222222,56721761980a3c0011277389,speech_in_synthetic_textures,human
41.0,-3.0,0.5,56721761980a3c0011277389,speech_in_synthetic_textures,human
42.0,-3.0,0.3333333333333333,56721761980a3c0011277389,speech_in_synthetic_textures,human
0.0,-3.0,0.2222222222222222,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
1.0,-3.0,0.6666666666666666,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
2.0,-3.0,0.875,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
3.0,-3.0,0.8888888888888888,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
4.0,-3.0,0.6666666666666666,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
5.0,-3.0,0.375,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
6.0,-3.0,0.5,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
7.0,-3.0,0.7777777777777778,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
8.0,-3.0,0.7777777777777778,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
9.0,-3.0,0.5555555555555556,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
10.0,-3.0,0.5555555555555556,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
11.0,-3.0,0.3333333333333333,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
12.0,-3.0,0.7777777777777778,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
13.0,-3.0,0.625,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
14.0,-3.0,0.7777777777777778,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
15.0,-3.0,1.0,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
16.0,-3.0,0.4444444444444444,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
17.0,-3.0,0.3333333333333333,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
18.0,-3.0,0.8888888888888888,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
19.0,-3.0,0.25,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
20.0,-3.0,0.5,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
21.0,-3.0,0.25,57d5ab3a722df500017f3622,speech_in_synthetic_textures,human
