azim_err_lag_list,azim_err_lag_mean,azim_err_lag_sem,azim_err_lead_list,azim_err_lead_mean,azim_err_lead_sem,delay,tag_model
"[42.76388663346679, 43.02131254777489, 42.9631625155008, 32.2490309931942, 43.20493798938573, 43.20493798938573, 40.63044835260045, 42.773628947440656, 41.93745342769396, 32.216714088601066]",40.496551348504426,1.3989147464801786,"[2.3273733406281574, 2.738612787525831, 1.58113883008419, 28.10693864511039, 0.0, 0.0, 13.197221929886103, 2.5000000000000004, 6.739188873051909, 26.16454343827412]",8.33550178445607,3.368196737040014,0.05,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
"[31.470886016549752, 30.3589635308366, 30.997311711394158, 30.86259872402193, 34.01592764181704, 30.822070014844883, 31.898275815473163, 38.949753957288785, 36.713984619851146, 29.32575659723036]",32.54155286293078,0.9745276502024167,"[29.10469607010754, 30.13856886670854, 28.939592256975562, 30.317761570846, 26.59103859072325, 29.888682361946525, 27.52271788904577, 17.99305421544658, 21.005951537600005, 27.988092706244444]",26.949015606564423,1.3158812497283805,0.1,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,models/sound_localization/simplified_IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",43.20493798938573,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.005,models/sound_localization/simplified_IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",43.20493798938573,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.01,models/sound_localization/simplified_IHC3000/arch??
"[43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573]",43.20493798938573,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.025,models/sound_localization/simplified_IHC3000/arch??
"[43.13737745080631, 36.51483716701107, 43.20493798938573, 32.04163957519444, 43.13254764869178, 37.32738047778511, 38.82653731663435, 43.20493798938573, 43.20493798938573, 31.83289703016886]",39.24280306344491,1.4736226861545854,"[0.9128709291752769, 23.09401076758503, 0.0, 28.982753492378876, 1.9364916731037083, 21.75622516277429, 18.461672008063985, 0.0, 0.0, 29.211869733608857]",12.435589376669004,4.0810916775014405,0.05,models/sound_localization/simplified_IHC3000/arch??
"[43.20493798938573, 31.89174396820176, 30.550504633038933, 30.550504633038933, 31.044323152550774, 31.937438845342623, 29.776948578836393, 43.20493798938573, 37.32738047778511, 30.550504633038933]",34.003922490060496,1.6716565954041858,"[0.0, 28.52630365119182, 30.550504633038933, 30.550504633038933, 30.0069436408753, 29.097537123726923, 31.304951684997054, 0.0, 21.75622516277429, 30.550504633038933]",23.23434751626822,3.9662711589931448,0.1,models/sound_localization/simplified_IHC3000/arch??
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1180339887498936]",0.11180339887498936,0.11180339887498936,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6454972243679021]",0.06454972243679022,0.0645497224367902,0.0,models/sound_localization/simplified_IHC1000/arch??
"[43.20493798938573, 43.224221604712945, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.32531977185319, 43.14220671222092, 43.20493798938573, 43.13737745080631]",43.205875347590776,0.016108825901748062,"[0.0, 1.2909944487358063, 0.0, 0.0, 0.0, 0.0, 0.6454972243679028, 1.1180339887498945, 0.0, 0.912870929175277]",0.39673965910288805,0.1697266788305346,0.005,models/sound_localization/simplified_IHC1000/arch??
