f,itd_threshold_list,itd_threshold_mean,itd_threshold_sem,log_itd_threshold_list,log_itd_threshold_mean,log_itd_threshold_sem,tag_model
700.0,"[29.225990223399165, 320.0, 320.0, 30.09207007854572, 43.33550885869361, 30.52615783734327, 24.957311380293895, 32.64531542169423, 320.0, 33.033317347490566]",118.38156711474605,44.02112290535663,"[3.3750583895351656, 5.768320995793772, 5.768320995793772, 3.404261684505104, 3.7689723649586635, 3.4185839500667106, 3.2171668205636585, 3.485701366766653, 5.768320995793772, 3.4975166687370565]",4.147222423251433,0.3563835002243775,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
750.0,"[32.9696453599683, 320.0, 320.0, 39.57803895233159, 32.83922345688444, 36.80359275735512, 24.363175200481518, 43.725749277976696, 320.0, 33.699486644101356]",120.39789116490991,43.58529015439418,"[3.4955873005795737, 5.768320995793772, 5.768320995793772, 3.678274392517738, 3.4916236380465637, 3.605595469685412, 3.193072779194898, 3.77793715690368, 5.768320995793772, 3.5174826041295715]",4.206453632843876,0.34415522801654574,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
800.0,"[31.50410852524467, 320.0, 320.0, 38.674745640850986, 35.91954569364003, 48.247059767831765, 25.031388858190656, 77.56337918492262, 320.0, 51.169049457033694]",126.81092771277144,42.39458080027395,"[3.450117966699263, 5.768320995793772, 5.768320995793772, 3.65518681960107, 3.581281595626845, 3.876334888473969, 3.2201305916466305, 4.351095398080891, 5.768320995793772, 3.935134846467672]",4.337424509397765,0.3264264548740414,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
850.0,"[31.339004574928904, 320.0, 320.0, 47.4954894265515, 41.01373682510911, 53.05057325430625, 20.54859028380875, 156.6517348569743, 320.0, 44.434299906207166]",135.4533429127886,41.951662819196024,"[3.4448634742960995, 5.768320995793772, 5.768320995793772, 3.8606347470906415, 3.7139070551042845, 3.9712456709263257, 3.022792339261161, 5.054025092070194, 5.768320995793772, 3.7940116916079463]",4.416644305773796,0.3360483227110365,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
900.0,"[27.59852464609699, 320.0, 320.0, 88.05839388226308, 52.02776325712121, 32.248239509253665, 20.26738589700404, 320.0, 320.0, 146.34307484088964]",164.65433820326285,43.789819718766935,"[3.3177623164427845, 5.768320995793772, 5.768320995793772, 4.478000161258972, 3.9517774848936327, 3.473463452891404, 3.0090129880133305, 5.768320995793772, 5.768320995793772, 4.985953692858005]",4.6289254079533215,0.3571495701117038,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
950.0,"[51.73866450336874, 320.0, 320.0, 120.82488261823306, 102.14802294383479, 108.48139480374812, 24.79868208036263, 320.0, 320.0, 320.0]",200.79916469495475,40.673483374745125,"[3.946205364738802, 5.768320995793772, 5.768320995793772, 4.794342246228363, 4.626422966635165, 4.686578681813594, 3.210790509837993, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.010594474822278,0.28948814792758526,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1000.0,"[320.0, 320.0, 320.0, 174.78826815783034, 102.39480406730188, 320.0, 18.644497506181185, 320.0, 320.0, 320.0]",253.58275697313132,35.76794119069801,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.163575345167183, 4.628835969787757, 5.768320995793772, 2.925551062673949, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.309620934818529,0.2913841843436804,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1050.0,"[302.8807834956013, 320.0, 320.0, 265.69444724086014, 76.4409786231384, 320.0, 21.38108642619134, 320.0, 320.0, 320.0]",258.63972957857914,35.60361798256488,"[5.713339274276213, 5.768320995793772, 5.768320995793772, 5.5823469539431745, 4.336518921790623, 5.768320995793772, 3.0625067193756115, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.3304637844148255,0.28851936264632716,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1100.0,"[320.0, 320.0, 320.0, 320.0, 132.2387078579997, 320.0, 22.239228129411234, 320.0, 320.0, 320.0]",271.4477935987411,33.39038661176762,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 4.884608682276281, 5.768320995793772, 3.1018577623687347, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.4133034410995196,0.27142830006506674,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1150.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 101.12462553776115, 320.0, 320.0, 320.0]",298.1124625537761,21.887537446223885,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 4.616353672407756, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.653124263455171,0.11519673233860157,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1200.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 119.93963721011113, 320.0, 320.0, 320.0]",299.9939637210111,20.006036278988887,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 4.7869885929743345, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.670187755511828,0.09813324028194374,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1250.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 195.44522397529576, 320.0, 320.0, 320.0]",307.5445223975296,12.455477602470424,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.275280155896888, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.719016911804084,0.04930408398968842,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1300.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1350.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1400.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1450.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1500.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1550.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1600.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1650.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1700.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1750.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1800.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1850.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1900.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1950.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
2000.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
