deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,snr,tag_model
"[13.919450800915332, 9.36979405034325, 16.118306636155605, 23.07894736842105, 20.528146453089246, 12.673684210526316, 22.991304347826087, 10.535240274599543, 17.456521739130434, 13.576887871853547]",16.02482837528604,1.5517409365034822,"[8.420823798627003, 7.494050343249428, 8.710983981693364, 10.002974828375287, 9.82745995423341, 8.123798627002289, 10.66933638443936, 8.048970251716247, 9.182379862700229, 9.651487414187644]",9.013226544622427,0.3213223965094181,"[17.640135631004416, 13.547292260134771, 19.589097490034792, 25.82613985696733, 23.626297195242547, 16.484581620468298, 25.87024969689336, 14.829628368454028, 21.0332293786687, 18.296261726071997]",19.674291322394023,1.3781200608625774,13.6,models/sound_localization/simplified_IHC0050/arch??
"[3.0643020594965673, 3.424942791762014, 2.9327231121281465, 2.5453089244851257, 2.4963386727688786, 2.7558352402745996, 3.4020594965675057, 4.479405034324943, 2.308009153318078, 9.02700228832952]",3.643592677345538,0.6300004948306657,"[3.551487414187643, 3.659954233409611, 3.1807780320366135, 3.062471395881007, 2.52837528604119, 3.0187643020594965, 3.645308924485126, 4.178718535469107, 2.5434782608695654, 7.306178489702517]",3.6675514874141877,0.435892184606424,"[5.61285191566347, 5.966051259694907, 5.187288593767488, 4.760408532483207, 4.232815333076217, 4.89026450073576, 5.917092926950288, 7.192605604636712, 4.115841276952936, 13.175134908297183]",6.105035485225817,0.8370188484734106,inf,models/sound_localization/simplified_IHC0050/arch??
"[47.95217391304348, 47.188100686498856, 51.224256292906176, 48.166361556064075, 48.08283752860412, 48.178260869565214, 49.251258581235696, 48.00549199084668, 47.176887871853545, 49.16864988558353]",48.43942791762014,0.3771468475440541,"[14.95766590389016, 14.898855835240274, 15.3558352402746, 14.915102974828375, 15.71441647597254, 15.008466819221969, 15.715102974828376, 15.282608695652174, 15.725171624713958, 14.540732265446223]",15.211395881006865,0.1307019348970006,"[48.621441732973004, 47.83721750170226, 52.21103125895057, 48.60976132978685, 49.55438049665469, 49.01625217411384, 50.11470284136419, 48.90243504595775, 47.764465316132, 49.195804466793774]",49.18274921644289,0.40481783642301383,-13.6,models/sound_localization/simplified_IHC0320/arch??
"[43.35102974828375, 26.930205949656752, 31.574828375286042, 44.99496567505721, 46.53295194508009, 29.511441647597255, 45.936155606407326, 46.69405034324943, 36.16979405034325, 40.3512585812357]",39.20466819221968,2.401823427838117,"[14.306407322654461, 13.613729977116705, 14.119908466819222, 14.5675057208238, 15.559267734553776, 13.88466819221968, 15.632723112128147, 15.223340961098398, 14.325858123569795, 13.932036613272311]",14.51654462242563,0.22679199947885897,"[44.622600009075654, 31.213890026484048, 35.678163319785575, 45.952325954917086, 48.281899720402805, 33.52973133301259, 47.33864339943647, 48.01444473255806, 38.46544563748968, 41.88129484367442]",41.49784389768364,2.0129376839552204,-6.8,models/sound_localization/simplified_IHC0320/arch??
"[30.231578947368423, 15.982837528604119, 18.296567505720823, 32.671853546910754, 39.252631578947366, 17.728146453089245, 34.23112128146453, 38.6929061784897, 21.330892448512586, 23.0720823798627]",27.149061784897025,2.8130512754520742,"[12.359267734553775, 11.619450800915331, 12.121510297482837, 12.906407322654463, 14.559725400457666, 11.720137299771167, 14.209839816933638, 13.919679633867277, 11.677574370709381, 12.146910755148742]",12.724050343249427,0.3526465214109937,"[33.14396402088532, 21.57117479803378, 23.878079933224328, 35.36358631035282, 41.94863932744924, 23.012405451460555, 37.38567086374191, 40.95562059448381, 25.508473306172462, 27.35684426652587]",31.012445887233007,2.4272879265632574,0.0,models/sound_localization/simplified_IHC0320/arch??
"[19.178947368421053, 11.830892448512586, 13.005720823798628, 18.464073226544624, 28.089473684210525, 12.879405034324943, 22.251945080091534, 27.157437070938215, 13.84187643020595, 13.566590389016019]",18.026636155606408,1.9192002778371824,"[9.82837528604119, 9.594736842105263, 10.00411899313501, 10.04050343249428, 11.838901601830662, 9.620823798627002, 12.08924485125858, 11.200228832951945, 9.119450800915331, 10.232036613272312]",10.356842105263159,0.31766549068723116,"[22.815804319175186, 16.989673424511615, 18.265591201855468, 22.38206063633702, 31.23800421525741, 17.80087191211919, 26.72465256155856, 29.97232069253002, 18.07921629849434, 18.83076432202768]",22.309895958386647,1.6772019380157348,6.8,models/sound_localization/simplified_IHC0320/arch??
"[12.442562929061785, 9.360640732265447, 10.31441647597254, 10.838443935926774, 18.95629290617849, 10.032265446224256, 15.132265446224256, 19.026315789473685, 9.730892448512586, 9.525858123569794]",12.53599542334096,1.2073478299930445,"[7.779176201372998, 8.020137299771166, 8.519908466819222, 7.834553775743707, 9.22837528604119, 8.12562929061785, 9.98237986270023, 9.025858123569794, 7.063157894736842, 8.621967963386728]",8.420114416475972,0.26569208050733417,"[16.09549438034213, 13.895982084900774, 15.066963011574805, 14.890991262902222, 22.23598205580085, 14.503010073388813, 19.780409762522506, 22.068156291867293, 13.419950218776115, 14.581074232007861]",16.653801337408336,1.0706923205774126,13.6,models/sound_localization/simplified_IHC0320/arch??
"[1.92837528604119, 5.436155606407323, 6.311441647597254, 1.9219679633867277, 1.651258581235698, 5.916704805491991, 3.106178489702517, 2.4521739130434783, 2.2331807780320365, 4.221510297482838]",3.5178947368421047,0.570054965141744,"[2.6675057208237987, 4.825858123569794, 5.571853546910755, 2.699771167048055, 2.1823798627002287, 5.085812356979405, 3.4855835240274597, 2.5588100686498856, 2.6565217391304348, 4.880091533180778]",3.6614187643020593,0.4065629350609126,"[3.958414160658759, 8.35006219741881, 9.66647606546937, 3.9904238169998294, 3.308252197871798, 8.955194265764655, 5.567213504229825, 4.250257921177209, 4.173498785329205, 7.606755721951146]",5.982654863687061,0.7624132097546201,inf,models/sound_localization/simplified_IHC0320/arch??
"[46.18260869565217, 56.48466819221968, 47.9604118993135, 49.49336384439359, 49.11533180778032, 48.014645308924486, 48.509610983981695, 48.389931350114416, 46.27551487414188, 49.73135011441648]",49.01574370709382,0.911861386864785,"[14.920594965675058, 14.459267734553777, 13.914645308924484, 15.07299771167048, 15.032951945080091, 14.104347826086956, 16.821052631578947, 14.884897025171625, 14.048741418764303, 14.680320366132722]",14.793981693363843,0.262412579577063,"[47.24726286258082, 55.65502170946191, 47.634366920795514, 50.02468828832044, 49.657536718717324, 48.10609935691416, 51.123669764364905, 49.137012435494746, 46.75811778064793, 50.866052664498824]",49.62098285017966,0.8211678081530713,-13.6,models/sound_localization/simplified_IHC1000/arch??
"[25.31487414187643, 35.048283752860414, 43.50594965675057, 43.99450800915332, 41.45354691075515, 36.504347826086956, 45.44988558352403, 40.916018306636154, 26.549427917620136, 37.33295194508009]",37.60697940503432,2.2212570931233455,"[13.550343249427918, 13.451029748283753, 13.558352402745996, 14.620366132723111, 14.535240274599543, 13.469565217391304, 16.663844393592676, 14.2720823798627, 13.107780320366134, 14.244851258581235]",14.147345537757436,0.3242136859617333,"[30.298668756571406, 38.10079659518748, 44.052824742802684, 45.50603789026195, 43.38352149020981, 38.76366812674794, 48.62861592323075, 42.96376145235377, 30.98570874931155, 40.68020823115632]",40.33638119578337,1.8893469738577036,-6.8,models/sound_localization/simplified_IHC1000/arch??
"[13.300686498855836, 16.62974828375286, 29.054919908466818, 29.466819221967963, 24.475286041189932, 18.774141876430207, 33.5254004576659, 25.509610983981695, 12.71533180778032, 18.527688787185355]",22.197963386727686,2.284241870965421,"[11.014645308924486, 11.135697940503432, 11.935469107551485, 12.772768878718535, 12.485812356979405, 11.112814645308925, 15.01441647597254, 12.094508009153317, 10.815102974828376, 12.446681922196797]",12.08279176201373,0.3940246578403195,"[19.368624657571225, 22.150558134191467, 31.99170306754977, 33.11493170782572, 28.94481960227419, 23.548808639027996, 38.162701851882446, 29.517102437286084, 18.8075569885101, 24.56220512211105]",27.01690122082301,2.0104044302704978,0.0,models/sound_localization/simplified_IHC1000/arch??
"[8.798855835240275, 10.292906178489703, 15.9883295194508, 15.527459954233409, 12.990846681922196, 9.851258581235697, 20.224485125858124, 14.213729977116705, 8.293135011441647, 11.243935926773455]",12.742494279176201,1.1946750630862992,"[8.875057208237987, 8.948283752860412, 9.506407322654463, 9.856979405034325, 9.694508009153319, 8.537299771167048, 11.90091533180778, 9.490846681922196, 8.543020594965675, 10.491304347826087]",9.58446224256293,0.32281191904863843,"[14.346281275593023, 15.616073475824855, 20.260908192194165, 20.348143702651026, 18.16025121706779, 14.800459049733806, 25.569693790169293, 18.90225686800415, 13.712403720851409, 17.53524361421806]",17.925171490630756,1.1381213197503166,6.8,models/sound_localization/simplified_IHC1000/arch??
"[6.404576659038901, 7.254691075514875, 9.182151029748283, 8.61212814645309, 7.967505720823799, 6.197254004576659, 11.394508009153318, 8.817620137299771, 5.95629290617849, 7.888329519450801]",7.967505720823799,0.5216834871591151,"[7.424942791762014, 7.312814645308925, 7.394736842105263, 7.44279176201373, 7.405720823798627, 6.725400457665904, 9.278489702517163, 7.35675057208238, 6.984210526315789, 9.034553775743706]",7.63604118993135,0.2642239393070416,"[11.381779616049458, 11.964802162174953, 13.415911639008662, 13.173772650206809, 12.54830550345581, 10.637338952181166, 16.752543702343328, 13.12390394096844, 10.666006544843894, 13.819187873978798]",12.748355258521132,0.5702039228986612,13.6,models/sound_localization/simplified_IHC1000/arch??
"[3.1267734553775743, 3.208695652173913, 1.4059496567505723, 0.9615560640732266, 1.1109839816933638, 1.4130434782608696, 1.3810068649885583, 1.1805491990846682, 3.1187643020594966, 4.649885583524028]",2.155720823798627,0.3997552333466257,"[4.479176201372998, 4.196796338672769, 2.559725400457666, 1.999771167048055, 2.01395881006865, 2.42837528604119, 2.9215102974828375, 2.231578947368421, 4.016475972540046, 6.331578947368421]",3.3178947368421055,0.4451256725140584,"[6.412831967736882, 6.2368201677357735, 3.484433832205445, 2.636133571514178, 2.754119398647033, 3.3418587909203223, 3.790449382631116, 2.997165951354527, 6.0053344022599395, 9.169150812010937]",4.682829827701616,0.6836579638316289,inf,models/sound_localization/simplified_IHC1000/arch??
"[50.69313501144165, 47.70297482837529, 50.79061784897025, 52.84782608695652, 50.04599542334096, 46.159954233409614, 54.338443935926776, 48.4858123569794, 48.74027459954233, 50.796109839816936]",50.06011441647597,0.7640494413226183,"[14.632723112128147, 14.282608695652174, 14.763157894736842, 14.340732265446224, 14.645308924485127, 12.919450800915332, 15.11258581235698, 14.2558352402746, 14.694508009153319, 15.433409610983981]",14.508032036613272,0.21139911398865013,"[51.57399132237982, 48.35597656380694, 51.70782995898107, 52.47589539712284, 49.8198034498255, 46.12752160343144, 54.88290074778581, 48.148981083987216, 48.856648038436596, 51.47511933915094]",50.34246675049082,0.8085305561294261,-13.6,models/sound_localization/simplified_IHC3000/arch??
"[26.545995423340962, 30.93775743707094, 27.023569794050342, 33.99359267734554, 39.514645308924486, 27.638443935926773, 35.72723112128146, 37.81395881006865, 43.667734553775745, 46.63844393592677]",34.950137299771164,2.2265773396399253,"[13.04233409610984, 13.279862700228833, 13.146910755148742, 13.164988558352404, 13.75995423340961, 12.296796338672769, 13.999313501144165, 13.326086956521738, 14.102288329519451, 14.961556064073227]",13.50800915331808,0.23064918188428124,"[31.31217120811912, 34.645757723308925, 31.733685433670924, 37.04667063104905, 41.209699010271464, 31.28820356287962, 39.30037463940681, 39.51935613050254, 44.729274611438896, 47.94795163686013]",37.87331445875075,1.8244868777457537,-6.8,models/sound_localization/simplified_IHC3000/arch??
