condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
High-pass,7500.0,"[59.714285714285715, 89.0, 79.0, 88.28571428571429, 88.0, 65.42857142857143, 42.142857142857146, 90.14285714285714, 84.42857142857143, 43.0]",72.91428571428571,6.019477079314284,models/sound_localization/simplified_IHC0320/arch??
High-pass,10000.0,"[21.142857142857142, 26.714285714285715, 24.857142857142858, 29.142857142857142, 28.285714285714285, 9.571428571428571, 25.142857142857142, 33.285714285714285, 21.857142857142858, 20.142857142857142]",24.014285714285712,2.0446767343142054,models/sound_localization/simplified_IHC0320/arch??
High-pass,13200.0,"[7.142857142857143, 7.142857142857143, 10.142857142857142, 7.142857142857143, 7.857142857142857, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143]",7.514285714285714,0.3005663588201808,models/sound_localization/simplified_IHC0320/arch??
High-pass,15300.0,"[7.285714285714286, 7.142857142857143, 7.857142857142857, 7.142857142857143, 8.0, 7.142857142857143, 7.142857142857143, 8.285714285714286, 8.571428571428571, 10.142857142857142]",7.871428571428572,0.30375577969175344,models/sound_localization/simplified_IHC0320/arch??
Low-pass,3900.0,"[16.285714285714285, 16.285714285714285, 12.142857142857142, 10.571428571428571, 13.0, 17.857142857142858, 19.857142857142858, 19.857142857142858, 21.428571428571427, 14.857142857142858]",16.214285714285715,1.1403245748708661,models/sound_localization/simplified_IHC0320/arch??
Low-pass,6000.0,"[22.142857142857142, 32.285714285714285, 12.857142857142858, 14.142857142857142, 29.857142857142858, 33.0, 19.285714285714285, 28.142857142857142, 35.0, 20.0]",24.67142857142857,2.539935007292478,models/sound_localization/simplified_IHC0320/arch??
Low-pass,8000.0,"[20.857142857142858, 29.0, 25.285714285714285, 18.428571428571427, 22.714285714285715, 31.428571428571427, 8.571428571428571, 14.0, 39.285714285714285, 12.285714285714286]",22.185714285714287,2.9821882422171373,models/sound_localization/simplified_IHC0320/arch??
Low-pass,10300.0,"[32.57142857142857, 46.0, 19.285714285714285, 35.42857142857143, 30.857142857142858, 39.42857142857143, 25.714285714285715, 50.714285714285715, 44.57142857142857, 19.285714285714285]",34.385714285714286,3.462075059674597,models/sound_localization/simplified_IHC0320/arch??
Low-pass,12000.0,"[39.857142857142854, 81.71428571428571, 42.57142857142857, 64.0, 68.57142857142857, 50.42857142857143, 36.0, 61.285714285714285, 85.14285714285714, 42.57142857142857]",57.21428571428571,5.57579194216507,models/sound_localization/simplified_IHC0320/arch??
Low-pass,14500.0,"[53.0, 80.42857142857143, 62.857142857142854, 79.28571428571429, 76.57142857142857, 54.57142857142857, 48.42857142857143, 80.85714285714286, 98.14285714285714, 47.714285714285715]",68.18571428571428,5.431580202120143,models/sound_localization/simplified_IHC0320/arch??
