azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
40,"[0.7994802940045992, 1.1946196091295622, 1.243452339106669, 0.4846825797607563, 1.1667201586391656, 1.0229345896015465, 0.7198720271966143, 0.30129609456019224, 1.0756909831401835, 0.7142978295076188]",0.8723046504646907,0.10122473881378641,"[2.7159558225984566, 4.477069707933438, 4.753438339663288, 1.7487026491797923, 4.332895770731307, 3.3198475189314096, 2.360371988580583, 1.4327362364279903, 3.8059336566948976, 2.6055140167751367]",3.15524657075163,0.36834756577679967,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
45,"[0.7868555891780168, 1.3220100973783462, 1.4147622455245, 0.6687961122791414, 1.4442963337047796, 1.0433040794234216, 0.8236541444076052, 0.4094601042395069, 1.304718625914808, 0.7775123484412582]",0.9995369680491384,0.11315213628019694,"[2.623133172285123, 6.430750819165957, 6.698019823814012, 2.1507123023920056, 5.873955485911353, 3.142344402516885, 2.6734970911384557, 1.588985658239871, 5.907448904465938, 2.733181482848128]",3.982202914277773,0.6286086336837973,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
50,"[0.9196324873834468, 1.5743767133749742, 1.7730538769743618, 0.9402621338349179, 2.1621582655501146, 1.1171012649030316, 0.9541855466530906, 0.47172123108101355, 1.575802150756178, 0.8466196168205365]",1.2334913287331666,0.16305902375073872,"[4.268711270636625, 11.749413120965182, 17.57150396774675, 2.7935373362319034, 21.187216376156893, 3.2828230095220774, 3.1954564163655967, 1.6470731997301604, 11.193184676959689, 2.7774808807164546]",7.966640025503134,2.2205087353740343,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
55,"[1.2458978061900259, 2.0324881616610724, 2.1110293721796682, 1.3305138416659743, 2.4298234744866702, 1.2468312884920194, 1.2295231729418716, 0.5371154798688013, 1.9952591157063537, 0.9599263487857025]",1.511840806197816,0.18899510621324953,"[16.608564046101197, 31.702816734160876, 19.578873685813125, 4.034671050973465, 33.43300026059446, 3.7807155123340674, 5.547607432882219, 1.7613429532153422, 31.4820259287537, 3.0453390101490942]",15.097495661497755,4.173340975847862,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
60,"[1.4593872290123195, 2.2217064700387197, 2.5822247592810474, 1.9039571832041045, 2.7708882364346152, 1.5427364987430163, 1.7689384263848729, 0.7791898344023077, 2.184261265247069, 1.194500901181338]",1.840779080392941,0.1962430271524501,"[17.176995461651984, 32.4430559320284, 23.176135964896954, 7.357387324700601, 35.69274405744927, 5.405965844138003, 17.974278212057687, 2.445771500347197, 32.11752791502784, 3.9288571049867382]",17.771871931728466,4.027262092137007,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
65,"[1.8797450051166604, 2.5023866487166697, 3.1799175481030844, 2.4778563211767946, 3.447554797581964, 1.9793220872263477, 2.232184295461145, 1.087041644558866, 2.48906922000258, 1.52725055551001]",2.280232812345412,0.22479687410318058,"[18.984063394820485, 33.960841885515435, 33.48645106007374, 14.313867840018604, 53.00572272798623, 9.506483074005272, 20.64710197536323, 3.778047559716709, 34.00377212111305, 6.222089177175974]",22.790844081578875,4.923034475327565,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
70,"[2.4498937887214747, 2.934032484130069, 3.894495327927453, 3.1884640243612083, 3.8864022431843535, 2.785689111190063, 3.1796296055264257, 1.5405505918764273, 2.9711126743610503, 2.0513100709716103]",2.888157992225014,0.23362522963140428,"[25.09126540182542, 38.09943474961782, 60.65161118427984, 34.41706126302362, 67.19083587649087, 35.70616009269252, 44.88560936840084, 6.5343920289755095, 40.14316944488093, 19.09881974331623]",37.18183591535036,5.717997729540053,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
75,"[3.011417015271471, 3.3701278785871995, 4.239313332101808, 3.8615962823171457, 4.194993846653952, 3.149630247348599, 3.683394089709074, 2.1238682278384418, 3.7257381560268037, 2.3982209984704688]",3.3758300074324965,0.22550576353816576,"[38.086969803536384, 50.90035176261963, 76.13243441390803, 59.0318847106581, 77.40886398064671, 41.20935562506458, 57.79001469298124, 11.516638249517314, 63.130359213286035, 21.137550486128486]",49.63444229383465,6.897258477909919,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0,"[-0.30712438260729885, 0.06754913830691862, -0.042527685089860906, -0.12596460557558173, 0.17672225227381907, -0.3302976179049126, 0.47893799861171243, 0.25197999243295915, 0.4088270934201923, 0.8299793035404915]",0.1408081487408439,0.11583046238071207,"[0.7615396375798787, 1.0987817604752896, 0.9866509573435209, 0.9004495189777849, 1.216723369553208, 0.7692475982641059, 1.6389839732748301, 1.2894163555733105, 1.56031065887747, 3.8309197143744655]",1.4053023544293866,0.28585820473479906,models/sound_localization/simplified_IHC3000/arch??
5,"[-0.2932012628003947, 0.12884939924486324, -0.043112955351989946, -0.1286466561678534, 0.21336844497985819, -0.3071503122966104, 0.5951814140618329, 0.2912659903407201, 0.4114994395567411, 0.9844688055235089]",0.1852522307090676,0.1288948221382342,"[0.8332645785638887, 1.1699738590715394, 0.9916101229767594, 0.9083858206185705, 1.2728200199788693, 0.7911772598664841, 1.9185090187544762, 1.361776133614935, 1.5687076920068426, 16.226664984053695]",2.704288948950606,1.5066020657622505,models/sound_localization/simplified_IHC3000/arch??
10,"[-0.18483054025423298, 0.13362110270930277, 0.021766294623485744, -0.15789497389398235, 0.35022561539963454, -0.2934505642678999, 0.6330702105196685, 0.39265863253481853, 0.43503385334585465, 1.0290257973554546]",0.23592254280721042,0.1304992768689647,"[1.0584643209509392, 1.1682231441202156, 1.0523830727333767, 0.8898440575447407, 1.5402513560094404, 0.8093418390264707, 1.9713846926863983, 1.5893051676299261, 1.5865720733509452, 16.58046157624321]",2.824623130029566,1.5328551440746236,models/sound_localization/simplified_IHC3000/arch??
15,"[0.00039211714238100254, 0.1998085128654544, 0.1736333531341265, -0.13968744865088822, 0.4904819648819661, -0.25005211984592984, 0.5543413816457506, 0.4806850173101039, 0.4832398239122675, 1.2206154268611042]",0.32134580292563364,0.13423972301291937,"[1.2825358429112412, 1.2718888533127093, 1.2050027051577343, 0.8986735220510346, 1.9738837287483237, 0.8375643110946438, 1.7985857765021465, 1.8303514958150988, 1.6705997063476483, 17.97876218754319]",3.0747848129483772,1.6606185264045215,models/sound_localization/simplified_IHC3000/arch??
20,"[0.19169483463143847, 0.34413803219126976, 0.3117032088822917, -0.09951088175628137, 0.7127575769749784, -0.12505591380811557, 0.4976764885956624, 0.4935470340144346, 0.5046987315596011, 0.7542233224066416]",0.3585872433691921,0.09515470600075344,"[1.819960818420496, 1.533403137631417, 1.3725175472179239, 0.942387753130404, 2.989889827634059, 0.9299715569509329, 1.7450371841612133, 1.7776604522342232, 1.6978638391448302, 4.112443453186638]",1.8921135569712138,0.30621337949968946,models/sound_localization/simplified_IHC3000/arch??
25,"[0.6907241921318802, 0.47427027087796453, 0.5032510949386535, -0.036045462648391306, 1.024306424352866, 0.04480313093482444, 0.5772129455036757, 0.62843451920547, 0.5302518728174334, 0.3867866419746611]",0.4823995630089038,0.09658539177514026,"[15.796037226980587, 1.8809680578276178, 1.6635877175408347, 0.9937685662490724, 6.328000345092192, 1.0767633264618675, 1.9604254646692685, 1.9782507858692149, 1.7285152006977678, 2.018866436788795]",3.542518312817722,1.4427478076885254,models/sound_localization/simplified_IHC3000/arch??
30,"[0.9058110245886529, 0.6540817021506569, 0.6782435156240187, 0.04089406686571603, 1.2901404121580307, 0.24465601742553336, 0.8787070434581095, 0.8939222587526849, 0.5971669224359286, 0.2196109720676184]",0.6403233935526951,0.12065754239920289,"[16.012097031021057, 2.3468353176959975, 2.0106461555758197, 1.0791991765026703, 11.537733245742308, 1.3140442019677754, 2.702607511670717, 2.8540981445888343, 1.8551440066639993, 1.422361100421189]",4.313476589185036,1.622077159047793,models/sound_localization/simplified_IHC3000/arch??
