f,itd_threshold,itd_threshold_mean,itd_threshold_sem,log_itd_threshold,log_itd_threshold_mean,log_itd_threshold_sem,model,subject
300.0,28.281532054683506,35.70140013862105,2.7683871383435705,3.3422090140547462,3.55372164301871,0.06533536580010936,3000_delayed,arch09
300.0,30.356721351497825,35.70140013862105,2.7683871383435705,3.413017954320926,3.55372164301871,0.06533536580010936,3000_delayed,arch10
350.0,32.916172305406015,32.06727019494966,1.667022082754448,3.493964096430398,3.4564568037415904,0.049556179602086727,3000_delayed,arch01
350.0,28.84032936300548,32.06727019494966,1.667022082754448,3.361774732705402,3.4564568037415904,0.049556179602086727,3000_delayed,arch02
350.0,26.756333300033084,32.06727019494966,1.667022082754448,3.2867712041987964,3.4564568037415904,0.049556179602086727,3000_delayed,arch03
350.0,27.774111152500517,32.06727019494966,1.667022082754448,3.3241043333034757,3.4564568037415904,0.049556179602086727,3000_delayed,arch04
350.0,34.549571046035155,32.06727019494966,1.667022082754448,3.542395134681763,3.4564568037415904,0.049556179602086727,3000_delayed,arch05
350.0,34.57074745317847,32.06727019494966,1.667022082754448,3.543007875139726,3.4564568037415904,0.049556179602086727,3000_delayed,arch06
350.0,43.93898687903257,32.06727019494966,1.667022082754448,3.7828020097728654,3.4564568037415904,0.049556179602086727,3000_delayed,arch07
350.0,32.860986105598975,32.06727019494966,1.667022082754448,3.4922861214588816,3.4564568037415904,0.049556179602086727,3000_delayed,arch08
350.0,25.89585342651719,32.06727019494966,1.667022082754448,3.2540828565259505,3.4564568037415904,0.049556179602086727,3000_delayed,arch09
350.0,32.569610918189106,32.06727019494966,1.667022082754448,3.4833796731986455,3.4564568037415904,0.049556179602086727,3000_delayed,arch10
400.0,31.104387270090356,32.398619845406905,1.6990538214920423,3.437348879013608,3.467824352661997,0.045696610010892404,3000_delayed,arch01
400.0,29.20059487027634,32.398619845406905,1.6990538214920423,3.374189081336462,3.467824352661997,0.045696610010892404,3000_delayed,arch02
400.0,28.662739980240715,32.398619845406905,1.6990538214920423,3.355598020769669,3.467824352661997,0.045696610010892404,3000_delayed,arch03
400.0,29.746392128880114,32.398619845406905,1.6990538214920423,3.3927078516586566,3.467824352661997,0.045696610010892404,3000_delayed,arch04
400.0,32.00869756405706,32.398619845406905,1.6990538214920423,3.4660076647458866,3.467824352661997,0.045696610010892404,3000_delayed,arch05
400.0,33.419615958348224,32.398619845406905,1.6990538214920423,3.509143031729235,3.467824352661997,0.045696610010892404,3000_delayed,arch06
400.0,46.89396532329465,32.398619845406905,1.6990538214920423,3.8478889960282885,3.467824352661997,0.045696610010892404,3000_delayed,arch07
400.0,30.799269950634248,32.398619845406905,1.6990538214920423,3.427490986797125,3.467824352661997,0.045696610010892404,3000_delayed,arch08
400.0,28.89042409593046,32.398619845406905,1.6990538214920423,3.363510194049542,3.467824352661997,0.045696610010892404,3000_delayed,arch09
400.0,33.26011131231689,32.398619845406905,1.6990538214920423,3.504358820491499,3.467824352661997,0.045696610010892404,3000_delayed,arch10
450.0,28.585353168045575,30.438083596240613,1.1600622827917009,3.352894459652576,3.409616752701262,0.03611381244535667,3000_delayed,arch01
450.0,29.741440536135393,30.438083596240613,1.1600622827917009,3.392541377523213,3.409616752701262,0.03611381244535667,3000_delayed,arch02
450.0,30.358668339391603,30.438083596240613,1.1600622827917009,3.4130820892265685,3.409616752701262,0.03611381244535667,3000_delayed,arch03
450.0,27.796991139868524,30.438083596240613,1.1600622827917009,3.3249277824602146,3.409616752701262,0.03611381244535667,3000_delayed,arch04
450.0,27.468514618266603,30.438083596240613,1.1600622827917009,3.3130404257753927,3.409616752701262,0.03611381244535667,3000_delayed,arch05
450.0,30.803275405098702,30.438083596240613,1.1600622827917009,3.4276210286467585,3.409616752701262,0.03611381244535667,3000_delayed,arch06
450.0,38.66757493182048,30.438083596240613,1.1600622827917009,3.655001391778425,3.409616752701262,0.03611381244535667,3000_delayed,arch07
450.0,34.45805786351997,30.438083596240613,1.1600622827917009,3.5397428703565836,3.409616752701262,0.03611381244535667,3000_delayed,arch08
450.0,26.274402758645966,30.438083596240613,1.1600622827917009,3.2685951861010962,3.409616752701262,0.03611381244535667,3000_delayed,arch09
450.0,30.226557201613314,30.438083596240613,1.1600622827917009,3.408720915491789,3.409616752701262,0.03611381244535667,3000_delayed,arch10
500.0,28.4319865748439,27.762401706294945,0.6772356808320785,3.347514799227459,3.3209453015647683,0.02480229871310381,3000_delayed,arch01
