condition,ild_bias_weight,ild_bias_weight_mean,ild_bias_weight_sem,itd_bias_weight,itd_bias_weight_mean,itd_bias_weight_sem,model,subject
highpass,0.8611571611540574,0.8522940533438146,0.012335861980355611,0.030304241741741744,0.03296599099099099,0.0011538573995532805,50,arch01
highpass,0.8531535147766803,0.8522940533438146,0.012335861980355611,0.031759009009009,0.03296599099099099,0.0011538573995532805,50,arch02
highpass,0.854693564605166,0.8522940533438146,0.012335861980355611,0.03247447447447448,0.03296599099099099,0.0011538573995532805,50,arch03
highpass,0.8214455367604346,0.8522940533438146,0.012335861980355611,0.042001501501501504,0.03296599099099099,0.0011538573995532805,50,arch04
highpass,0.9080303911588224,0.8522940533438146,0.012335861980355611,0.030875750750750747,0.03296599099099099,0.0011538573995532805,50,arch05
highpass,0.7907659180049464,0.8522940533438146,0.012335861980355611,0.03274999999999999,0.03296599099099099,0.0011538573995532805,50,arch06
highpass,0.8512552902144659,0.8522940533438146,0.012335861980355611,0.03561561561561561,0.03296599099099099,0.0011538573995532805,50,arch07
highpass,0.8987946137805274,0.8522940533438146,0.012335861980355611,0.030596283783783783,0.03296599099099099,0.0011538573995532805,50,arch08
highpass,0.8829561007367893,0.8522940533438146,0.012335861980355611,0.029539039039039046,0.03296599099099099,0.0011538573995532805,50,arch09
highpass,0.8006884422462562,0.8522940533438146,0.012335861980355611,0.03374399399399398,0.03296599099099099,0.0011538573995532805,50,arch10
lowpass,0.39129042407336895,0.40544502184480163,0.0055284824989030885,0.046190503003002994,0.046062837837837836,0.00308673730164397,50,arch01
lowpass,0.3852556918746002,0.40544502184480163,0.0055284824989030885,0.0527515015015015,0.046062837837837836,0.00308673730164397,50,arch02
lowpass,0.389851433350635,0.40544502184480163,0.0055284824989030885,0.0330792042042042,0.046062837837837836,0.00308673730164397,50,arch03
lowpass,0.41271923968949,0.40544502184480163,0.0055284824989030885,0.06283445945945944,0.046062837837837836,0.00308673730164397,50,arch04
lowpass,0.4069953935627387,0.40544502184480163,0.0055284824989030885,0.03843111861861861,0.046062837837837836,0.00308673730164397,50,arch05
lowpass,0.3948418786100156,0.40544502184480163,0.0055284824989030885,0.041626126126126116,0.046062837837837836,0.00308673730164397,50,arch06
lowpass,0.4390708873742805,0.40544502184480163,0.0055284824989030885,0.055943506006006005,0.046062837837837836,0.00308673730164397,50,arch07
lowpass,0.41099985830496955,0.40544502184480163,0.0055284824989030885,0.03428134384384384,0.046062837837837836,0.00308673730164397,50,arch08
lowpass,0.3960317987428836,0.40544502184480163,0.0055284824989030885,0.04311505255255255,0.046062837837837836,0.00308673730164397,50,arch09
lowpass,0.4273936128650342,0.40544502184480163,0.0055284824989030885,0.05237556306306308,0.046062837837837836,0.00308673730164397,50,arch10
highpass,0.7743586879276465,0.8059221074668457,0.00860586452314366,0.054743806306306306,0.0616396021021021,0.002192768294626119,320,arch01
highpass,0.8094030880966662,0.8059221074668457,0.00860586452314366,0.06624399399399397,0.0616396021021021,0.002192768294626119,320,arch02
highpass,0.8176078045378781,0.8059221074668457,0.00860586452314366,0.06321246246246247,0.0616396021021021,0.002192768294626119,320,arch03
highpass,0.7990724891961396,0.8059221074668457,0.00860586452314366,0.07736204954954955,0.0616396021021021,0.002192768294626119,320,arch04
highpass,0.8005947309886332,0.8059221074668457,0.00860586452314366,0.057305930930930934,0.0616396021021021,0.002192768294626119,320,arch05
highpass,0.8206069033713032,0.8059221074668457,0.00860586452314366,0.06345251501501502,0.0616396021021021,0.002192768294626119,320,arch06
highpass,0.8037126337092516,0.8059221074668457,0.00860586452314366,0.0607393018018018,0.0616396021021021,0.002192768294626119,320,arch07
highpass,0.8450078914509479,0.8059221074668457,0.00860586452314366,0.05512068318318318,0.0616396021021021,0.002192768294626119,320,arch08
highpass,0.8358580490354381,0.8059221074668457,0.00860586452314366,0.054857732732732735,0.0616396021021021,0.002192768294626119,320,arch09
highpass,0.7529987963545535,0.8059221074668457,0.00860586452314366,0.06335754504504505,0.0616396021021021,0.002192768294626119,320,arch10
lowpass,0.37521059188466754,0.39151185824830226,0.01693564801352961,0.21223029279279287,0.1514826764264264,0.022180779363403704,320,arch01
lowpass,0.3953925379806147,0.39151185824830226,0.01693564801352961,0.11218562312312311,0.1514826764264264,0.022180779363403704,320,arch02
lowpass,0.3899915330743769,0.39151185824830226,0.01693564801352961,0.12345551801801802,0.1514826764264264,0.022180779363403704,320,arch03
lowpass,0.4289005637312269,0.39151185824830226,0.01693564801352961,0.29761655405405396,0.1514826764264264,0.022180779363403704,320,arch04
lowpass,0.41287461855023794,0.39151185824830226,0.01693564801352961,0.17242567567567565,0.1514826764264264,0.022180779363403704,320,arch05
lowpass,0.24800918705722239,0.39151185824830226,0.01693564801352961,0.17173216966966964,0.1514826764264264,0.022180779363403704,320,arch06
lowpass,0.43569448020310214,0.39151185824830226,0.01693564801352961,0.1767723348348348,0.1514826764264264,0.022180779363403704,320,arch07
lowpass,0.4073179342198768,0.39151185824830226,0.01693564801352961,0.06345307807807807,0.1514826764264264,0.022180779363403704,320,arch08
lowpass,0.40273521130489,0.39151185824830226,0.01693564801352961,0.07372841591591589,0.1514826764264264,0.022180779363403704,320,arch09
lowpass,0.4189919244768074,0.39151185824830226,0.01693564801352961,0.11122710210210211,0.1514826764264264,0.022180779363403704,320,arch10
highpass,0.7590463399003353,0.7719580892639673,0.015275123174192981,0.08018618618618618,0.07927730855855855,0.004398730141375377,1000,arch01
highpass,0.8495871270155451,0.7719580892639673,0.015275123174192981,0.05853697447447448,0.07927730855855855,0.004398730141375377,1000,arch02
highpass,0.7534712642450198,0.7719580892639673,0.015275123174192981,0.08870457957957957,0.07927730855855855,0.004398730141375377,1000,arch03
