condition,cutoff_channel,cutoff_channel_freq,srt,srt_mean,srt_sem,model,subject
stationary_noise,20.0,2338.45751953125,-3.327456880653413,-3.1858868453415763,0.0729715688102457,50,arch0_0002
stationary_noise,20.0,2338.45751953125,-3.4473908986764874,-3.1858868453415763,0.0729715688102457,50,arch0_0004
stationary_noise,20.0,2338.45751953125,-3.258520582366817,-3.1858868453415763,0.0729715688102457,50,arch0_0006
stationary_noise,20.0,2338.45751953125,-2.9373785900807214,-3.1858868453415763,0.0729715688102457,50,arch0_0007
stationary_noise,20.0,2338.45751953125,-3.1492973006370186,-3.1858868453415763,0.0729715688102457,50,arch0_0008
stationary_noise,20.0,2338.45751953125,-3.195423670598289,-3.1858868453415763,0.0729715688102457,50,arch0_0009
stationary_noise,20.0,2338.45751953125,-3.1826339390501315,-3.1858868453415763,0.0729715688102457,50,arch0_0016
stationary_noise,20.0,2338.45751953125,-3.0320842868455746,-3.1858868453415763,0.0729715688102457,50,arch0_0017
stationary_noise,24.0,3692.423583984375,-3.493877379092063,-3.375897446087479,0.04926535990687794,50,arch0_0000
stationary_noise,24.0,3692.423583984375,-3.0748640974304213,-3.375897446087479,0.04926535990687794,50,arch0_0001
stationary_noise,24.0,3692.423583984375,-3.4137596237561074,-3.375897446087479,0.04926535990687794,50,arch0_0002
stationary_noise,24.0,3692.423583984375,-3.5063207671654015,-3.375897446087479,0.04926535990687794,50,arch0_0004
stationary_noise,24.0,3692.423583984375,-3.454027340482279,-3.375897446087479,0.04926535990687794,50,arch0_0006
stationary_noise,24.0,3692.423583984375,-3.3912860412807806,-3.375897446087479,0.04926535990687794,50,arch0_0007
stationary_noise,24.0,3692.423583984375,-3.5220508927630454,-3.375897446087479,0.04926535990687794,50,arch0_0008
stationary_noise,24.0,3692.423583984375,-3.4850158020182564,-3.375897446087479,0.04926535990687794,50,arch0_0009
stationary_noise,24.0,3692.423583984375,-3.203479105745901,-3.375897446087479,0.04926535990687794,50,arch0_0016
stationary_noise,24.0,3692.423583984375,-3.2142934111405363,-3.375897446087479,0.04926535990687794,50,arch0_0017
stationary_noise,28.0,5760.4599609375,-3.8231158737505866,-3.506677555051958,0.06349021999514239,50,arch0_0000
stationary_noise,28.0,5760.4599609375,-3.2257413514469677,-3.506677555051958,0.06349021999514239,50,arch0_0001
stationary_noise,28.0,5760.4599609375,-3.5886097112469333,-3.506677555051958,0.06349021999514239,50,arch0_0002
stationary_noise,28.0,5760.4599609375,-3.548956901152374,-3.506677555051958,0.06349021999514239,50,arch0_0004
stationary_noise,28.0,5760.4599609375,-3.7111026937595355,-3.506677555051958,0.06349021999514239,50,arch0_0006
stationary_noise,28.0,5760.4599609375,-3.4032863174761756,-3.506677555051958,0.06349021999514239,50,arch0_0007
stationary_noise,28.0,5760.4599609375,-3.668570474972623,-3.506677555051958,0.06349021999514239,50,arch0_0008
stationary_noise,28.0,5760.4599609375,-3.4876459785282665,-3.506677555051958,0.06349021999514239,50,arch0_0009
stationary_noise,28.0,5760.4599609375,-3.2190506873039673,-3.506677555051958,0.06349021999514239,50,arch0_0016
stationary_noise,28.0,5760.4599609375,-3.390695560882149,-3.506677555051958,0.06349021999514239,50,arch0_0017
stationary_noise,32.0,8000.0,-3.7376937002548516,-3.65133728729153,0.06250122358638685,50,arch0_0000
stationary_noise,32.0,8000.0,-3.2527469333768444,-3.65133728729153,0.06250122358638685,50,arch0_0001
stationary_noise,32.0,8000.0,-3.8055880483247506,-3.65133728729153,0.06250122358638685,50,arch0_0002
stationary_noise,32.0,8000.0,-3.861339034915976,-3.65133728729153,0.06250122358638685,50,arch0_0004
stationary_noise,32.0,8000.0,-3.599887319493488,-3.65133728729153,0.06250122358638685,50,arch0_0006
stationary_noise,32.0,8000.0,-3.5491715369187875,-3.65133728729153,0.06250122358638685,50,arch0_0007
stationary_noise,32.0,8000.0,-3.883284380619722,-3.65133728729153,0.06250122358638685,50,arch0_0008
stationary_noise,32.0,8000.0,-3.7020350868359957,-3.65133728729153,0.06250122358638685,50,arch0_0009
stationary_noise,32.0,8000.0,-3.6863258271669452,-3.65133728729153,0.06250122358638685,50,arch0_0016
stationary_noise,32.0,8000.0,-3.43530100500794,-3.65133728729153,0.06250122358638685,50,arch0_0017
modulated_noise,0.0,80.0,-4.292241124062359,-3.779338899431157,0.24894688305604973,50,arch0_0000
modulated_noise,0.0,80.0,-3.9186226140925933,-3.779338899431157,0.24894688305604973,50,arch0_0001
modulated_noise,0.0,80.0,-5.151876608747276,-3.779338899431157,0.24894688305604973,50,arch0_0002
modulated_noise,0.0,80.0,-3.5809745147355407,-3.779338899431157,0.24894688305604973,50,arch0_0004
