metric,task,model,y_mean,y_bootstrap
performance,localization,50,32.6763801765317,33.191191898527265
performance,localization,50,32.6763801765317,33.13287432702875
performance,localization,50,32.6763801765317,33.70186993361193
performance,localization,50,32.6763801765317,31.980767964675522
performance,localization,50,32.6763801765317,33.32807185388604
performance,localization,50,32.6763801765317,32.42499663265664
performance,localization,50,32.6763801765317,32.08547088470432
performance,localization,50,32.6763801765317,33.32359515645828
performance,localization,50,32.6763801765317,31.476218313096997
performance,localization,50,32.6763801765317,32.02321025557702
performance,localization,50,32.6763801765317,30.636580793619334
performance,localization,50,32.6763801765317,32.00941145440989
performance,localization,50,32.6763801765317,32.68693336756924
performance,localization,50,32.6763801765317,33.110943024150586
performance,localization,50,32.6763801765317,33.3992437950508
performance,localization,50,32.6763801765317,32.81802217768326
performance,localization,50,32.6763801765317,32.27164723552104
performance,localization,50,32.6763801765317,32.523624211658614
performance,localization,50,32.6763801765317,34.07775371366156
performance,localization,50,32.6763801765317,33.34763754248856
performance,localization,50,32.6763801765317,33.58562853178623
performance,localization,50,32.6763801765317,32.108141086859334
performance,localization,50,32.6763801765317,32.7784111762821
performance,localization,50,32.6763801765317,32.166705188843
performance,localization,50,32.6763801765317,32.89985785028051
performance,localization,50,32.6763801765317,34.407568787632385
performance,localization,50,32.6763801765317,32.202785151460574
performance,localization,50,32.6763801765317,34.45005933659921
performance,localization,50,32.6763801765317,33.2999792098358
performance,localization,50,32.6763801765317,33.21632563504199
performance,localization,50,32.6763801765317,33.499797257306845
performance,localization,50,32.6763801765317,32.05973844189761
performance,localization,50,32.6763801765317,32.663363451134465
performance,localization,50,32.6763801765317,33.135279384496016
performance,localization,50,32.6763801765317,32.818432777857105
performance,localization,50,32.6763801765317,33.527401220882126
performance,localization,50,32.6763801765317,32.013354512038674
performance,localization,50,32.6763801765317,33.1474724901399
performance,localization,50,32.6763801765317,33.438337408794915
performance,localization,50,32.6763801765317,32.86580953628487
performance,localization,50,32.6763801765317,32.209044146628315
performance,localization,50,32.6763801765317,32.13750758295198
performance,localization,50,32.6763801765317,31.78183177174739
performance,localization,50,32.6763801765317,32.32325803319547
performance,localization,50,32.6763801765317,31.896780424227995
performance,localization,50,32.6763801765317,34.17282940051666
performance,localization,50,32.6763801765317,31.72573248379216
performance,localization,50,32.6763801765317,32.59991113110384
performance,localization,50,32.6763801765317,33.84061703427299
performance,localization,50,32.6763801765317,31.209316345942074
performance,localization,50,32.6763801765317,34.53030549628386
performance,localization,50,32.6763801765317,30.983936049520178
performance,localization,50,32.6763801765317,32.755351933422524
performance,localization,50,32.6763801765317,32.439479119047135
performance,localization,50,32.6763801765317,32.38800375615175
performance,localization,50,32.6763801765317,33.18227318768295
performance,localization,50,32.6763801765317,31.553902733674835
performance,localization,50,32.6763801765317,32.79489705912441
performance,localization,50,32.6763801765317,33.18872436980679
