condition,snr,correct,correct_mean,correct_sem,model,subject
reverberant,-12.0,0.1675531914893617,0.15132978723404256,0.012794552784552196,50,arch05
reverberant,-12.0,0.1595744680851064,0.15132978723404256,0.012794552784552196,50,arch06
reverberant,-12.0,0.14893617021276595,0.15132978723404256,0.012794552784552196,50,arch07
reverberant,-12.0,0.11436170212765957,0.15132978723404256,0.012794552784552196,50,arch08
reverberant,-12.0,0.1675531914893617,0.15132978723404256,0.012794552784552196,50,arch09
reverberant,-12.0,0.09308510638297872,0.15132978723404256,0.012794552784552196,50,arch10
reverberant,-6.0,0.4308510638297872,0.31888297872340426,0.021215374391177242,50,arch01
reverberant,-6.0,0.3484042553191489,0.31888297872340426,0.021215374391177242,50,arch02
reverberant,-6.0,0.3537234042553192,0.31888297872340426,0.021215374391177242,50,arch03
reverberant,-6.0,0.2553191489361702,0.31888297872340426,0.021215374391177242,50,arch04
reverberant,-6.0,0.3537234042553192,0.31888297872340426,0.021215374391177242,50,arch05
reverberant,-6.0,0.2898936170212766,0.31888297872340426,0.021215374391177242,50,arch06
reverberant,-6.0,0.27925531914893614,0.31888297872340426,0.021215374391177242,50,arch07
reverberant,-6.0,0.3058510638297872,0.31888297872340426,0.021215374391177242,50,arch08
reverberant,-6.0,0.375,0.31888297872340426,0.021215374391177242,50,arch09
reverberant,-6.0,0.19680851063829788,0.31888297872340426,0.021215374391177242,50,arch10
reverberant,0.0,0.6170212765957447,0.4933510638297872,0.02094244852191485,50,arch01
reverberant,0.0,0.5106382978723404,0.4933510638297872,0.02094244852191485,50,arch02
reverberant,0.0,0.5319148936170213,0.4933510638297872,0.02094244852191485,50,arch03
reverberant,0.0,0.44148936170212766,0.4933510638297872,0.02094244852191485,50,arch04
reverberant,0.0,0.48138297872340424,0.4933510638297872,0.02094244852191485,50,arch05
reverberant,0.0,0.523936170212766,0.4933510638297872,0.02094244852191485,50,arch06
reverberant,0.0,0.46808510638297873,0.4933510638297872,0.02094244852191485,50,arch07
reverberant,0.0,0.48138297872340424,0.4933510638297872,0.02094244852191485,50,arch08
reverberant,0.0,0.5159574468085106,0.4933510638297872,0.02094244852191485,50,arch09
reverberant,0.0,0.3617021276595745,0.4933510638297872,0.02094244852191485,50,arch10
reverberant,6.0,0.7526595744680851,0.6664893617021277,0.019985974157392696,50,arch01
reverberant,6.0,0.6648936170212766,0.6664893617021277,0.019985974157392696,50,arch02
reverberant,6.0,0.7154255319148937,0.6664893617021277,0.019985974157392696,50,arch03
reverberant,6.0,0.6622340425531915,0.6664893617021277,0.019985974157392696,50,arch04
reverberant,6.0,0.6542553191489362,0.6664893617021277,0.019985974157392696,50,arch05
reverberant,6.0,0.6728723404255319,0.6664893617021277,0.019985974157392696,50,arch06
reverberant,6.0,0.6702127659574468,0.6664893617021277,0.019985974157392696,50,arch07
reverberant,6.0,0.6702127659574468,0.6664893617021277,0.019985974157392696,50,arch08
reverberant,6.0,0.6941489361702128,0.6664893617021277,0.019985974157392696,50,arch09
reverberant,6.0,0.5079787234042553,0.6664893617021277,0.019985974157392696,50,arch10
reverberant,12.0,0.8537234042553191,0.7914893617021277,0.019455938025975523,50,arch01
reverberant,12.0,0.824468085106383,0.7914893617021277,0.019455938025975523,50,arch02
reverberant,12.0,0.8297872340425532,0.7914893617021277,0.019455938025975523,50,arch03
reverberant,12.0,0.7686170212765957,0.7914893617021277,0.019455938025975523,50,arch04
reverberant,12.0,0.8138297872340425,0.7914893617021277,0.019455938025975523,50,arch05
reverberant,12.0,0.824468085106383,0.7914893617021277,0.019455938025975523,50,arch06
reverberant,12.0,0.7473404255319149,0.7914893617021277,0.019455938025975523,50,arch07
reverberant,12.0,0.7898936170212766,0.7914893617021277,0.019455938025975523,50,arch08
reverberant,12.0,0.8218085106382979,0.7914893617021277,0.019455938025975523,50,arch09
reverberant,12.0,0.6409574468085106,0.7914893617021277,0.019455938025975523,50,arch10
reverberant,18.0,0.9069148936170213,0.8646276595744681,0.012720627261644054,50,arch01
reverberant,18.0,0.8909574468085106,0.8646276595744681,0.012720627261644054,50,arch02
reverberant,18.0,0.9095744680851063,0.8646276595744681,0.012720627261644054,50,arch03
reverberant,18.0,0.8563829787234043,0.8646276595744681,0.012720627261644054,50,arch04
