f0,weber_fraction,model,subject
353.55339059327395,0.0015709904112441,IHC0050,arch_0346_0011
353.55339059327395,0.0015729668663204,IHC0050,arch_0346_0013
353.55339059327395,0.0016788202470034,IHC0050,arch_0346_0015
353.55339059327395,0.0013113115556284,IHC0050,arch_0346_0017
353.55339059327395,0.0015769098241003,IHC0050,arch_0346_0020
353.55339059327395,2.7629082815172623e-05,IHC0320,arch_0346_0000
353.55339059327395,3.106541751685121e-05,IHC0320,arch_0346_0004
353.55339059327395,2.3028678899805755e-05,IHC0320,arch_0346_0005
353.55339059327395,2.6677191724555627e-05,IHC0320,arch_0346_0006
353.55339059327395,2.8325735510037475e-05,IHC0320,arch_0346_0009
353.55339059327395,2.552272094713537e-05,IHC0320,arch_0346_0011
353.55339059327395,2.643559699233577e-05,IHC0320,arch_0346_0013
353.55339059327395,2.316996491580348e-05,IHC0320,arch_0346_0015
353.55339059327395,2.6280980722104275e-05,IHC0320,arch_0346_0017
353.55339059327395,2.2949196179622436e-05,IHC0320,arch_0346_0020
353.55339059327395,1.0349130121767304e-05,IHC1000,arch_0346_0000
353.55339059327395,1.0231390459303212e-05,IHC1000,arch_0346_0004
353.55339059327395,1.2273758151826186e-05,IHC1000,arch_0346_0005
353.55339059327395,1.1111202517177787e-05,IHC1000,arch_0346_0006
353.55339059327395,1.058580833057654e-05,IHC1000,arch_0346_0009
353.55339059327395,1.1684663611122303e-05,IHC1000,arch_0346_0011
353.55339059327395,1.0968093148822078e-05,IHC1000,arch_0346_0013
353.55339059327395,1.1244857184511405e-05,IHC1000,arch_0346_0015
353.55339059327395,9.256639151411504e-06,IHC1000,arch_0346_0017
353.55339059327395,1.1690983670487045e-05,IHC1000,arch_0346_0020
353.55339059327395,9.077653214006888e-06,IHC3000,arch_0346_0000
353.55339059327395,9.175639561709303e-06,IHC3000,arch_0346_0004
353.55339059327395,1.0487723163032925e-05,IHC3000,arch_0346_0005
353.55339059327395,9.214090421316712e-06,IHC3000,arch_0346_0006
353.55339059327395,8.771286627240471e-06,IHC3000,arch_0346_0009
353.55339059327395,9.92818951983665e-06,IHC3000,arch_0346_0011
353.55339059327395,1.0046676749864147e-05,IHC3000,arch_0346_0013
353.55339059327395,8.769012048714941e-06,IHC3000,arch_0346_0015
353.55339059327395,9.603906919064542e-06,IHC3000,arch_0346_0017
353.55339059327395,1.0321550935277202e-05,IHC3000,arch_0346_0020
353.55339059327395,8.259512001229652e-06,sr10000_IHC3000,arch_0346_0000
353.55339059327395,1.0891463351869746e-05,sr10000_IHC3000,arch_0346_0004
353.55339059327395,1.0277930907021116e-05,sr10000_IHC3000,arch_0346_0005
353.55339059327395,1.2009770832932531e-05,sr10000_IHC3000,arch_0346_0006
353.55339059327395,9.291298142644068e-06,sr10000_IHC3000,arch_0346_0009
353.55339059327395,9.955038425379923e-06,sr10000_IHC3000,arch_0346_0011
353.55339059327395,1.0340143310472172e-05,sr10000_IHC3000,arch_0346_0013
353.55339059327395,9.336403908433157e-06,sr10000_IHC3000,arch_0346_0015
353.55339059327395,1.0298628213778471e-05,sr10000_IHC3000,arch_0346_0017
353.55339059327395,9.482355586065694e-06,sr10000_IHC3000,arch_0346_0020
499.99999999999983,0.0012335619497363,IHC0050,arch_0346_0000
499.99999999999983,0.0016786305159761,IHC0050,arch_0346_0004
499.99999999999983,0.0013719949823098,IHC0050,arch_0346_0005
499.99999999999983,0.0013647649380352,IHC0050,arch_0346_0006
499.99999999999983,0.0012750571119239,IHC0050,arch_0346_0009
499.99999999999983,0.0013106508431204,IHC0050,arch_0346_0011
499.99999999999983,0.0015134599929247,IHC0050,arch_0346_0013
499.99999999999983,0.0011906329821829,IHC0050,arch_0346_0015
499.99999999999983,0.0012949694338599,IHC0050,arch_0346_0017
499.99999999999983,0.0015687473286383,IHC0050,arch_0346_0020
499.99999999999983,4.788382500930943e-05,IHC0320,arch_0346_0000
499.99999999999983,5.2207119608516095e-05,IHC0320,arch_0346_0004
499.99999999999983,4.876487316263223e-05,IHC0320,arch_0346_0005
499.99999999999983,4.747154751161276e-05,IHC0320,arch_0346_0006
499.99999999999983,5.218938611384338e-05,IHC0320,arch_0346_0009
499.99999999999983,5.240173525944414e-05,IHC0320,arch_0346_0011
499.99999999999983,5.064259593123843e-05,IHC0320,arch_0346_0013
