background_condition,cutoff_channel,cutoff_channel_freq,srt_mean,srt_sem,tag_expt,tag_model,srt_list
3.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
