background_condition,correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,snr,tag_expt,tag_model
0.0,"[0.9388297872340425, 0.898936170212766, 0.9202127659574468, 0.9175531914893617, 0.9148936170212766, 0.9095744680851063, 0.9175531914893617, 0.9069148936170213, 0.9202127659574468, 0.9148936170212766]",0.9159574468085105,0.0032980629854145968,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,9.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.9521276595744681, 0.9281914893617021, 0.9308510638297872, 0.9281914893617021, 0.9414893617021277, 0.9175531914893617, 0.925531914893617, 0.9095744680851063, 0.925531914893617, 0.9228723404255319]",0.928191489361702,0.003740252324420043,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,12.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.949468085106383, 0.9335106382978723, 0.9281914893617021, 0.9361702127659575, 0.9468085106382979, 0.9281914893617021, 0.9308510638297872, 0.925531914893617, 0.9335106382978723, 0.9228723404255319]",0.9335106382978724,0.002746796699437889,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,15.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.9521276595744681, 0.9281914893617021, 0.9388297872340425, 0.9335106382978723, 0.9521276595744681, 0.9281914893617021, 0.9388297872340425, 0.9388297872340425, 0.9308510638297872, 0.9308510638297872]",0.9372340425531915,0.002809038921587739,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,18.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.9281914893617021, 0.9228723404255319, 0.9388297872340425, 0.9335106382978723, 0.9547872340425532, 0.9175531914893617, 0.9388297872340425, 0.9441489361702128, 0.9361702127659575, 0.9308510638297872]",0.9345744680851065,0.003368794326241138,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,inf,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
1.0,"[0.0, 0.0026595744680851063, 0.007978723404255319, 0.0026595744680851063, 0.005319148936170213, 0.005319148936170213, 0.005319148936170213, 0.0, 0.005319148936170213, 0.0]",0.0034574468085106385,0.0008909464203121357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-21.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
1.0,"[0.005319148936170213, 0.010638297872340425, 0.0026595744680851063, 0.0026595744680851063, 0.005319148936170213, 0.007978723404255319, 0.010638297872340425, 0.005319148936170213, 0.0, 0.0026595744680851063]",0.005319148936170213,0.0011213750567972975,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-18.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
1.0,"[0.005319148936170213, 0.007978723404255319, 0.007978723404255319, 0.0026595744680851063, 0.007978723404255319, 0.005319148936170213, 0.0026595744680851063, 0.007978723404255319, 0.007978723404255319, 0.0026595744680851063]",0.005851063829787234,0.0007728544226135946,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-15.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
1.0,"[0.015957446808510637, 0.010638297872340425, 0.02127659574468085, 0.018617021276595744, 0.013297872340425532, 0.013297872340425532, 0.026595744680851064, 0.015957446808510637, 0.010638297872340425, 0.010638297872340425]",0.015691489361702126,0.0016561650436409047,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-12.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
1.0,"[0.05053191489361702, 0.04521276595744681, 0.03723404255319149, 0.05585106382978723, 0.034574468085106384, 0.04521276595744681, 0.05851063829787234, 0.061170212765957445, 0.034574468085106384, 0.0425531914893617]",0.04654255319148936,0.0030774033612960606,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-9.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
