background_condition,correct_spkr,correct_word,cutoff_channel,cutoff_channel_freq,fn_eval,index,popt,snr,srt,tag_expt,tag_model
3.0,"[0.0, 0.0026595744680851063, 0.0, 0.005319148936170213, 0.015957446808510637, 0.07712765957446809, 0.3191489361702128, 0.6037234042553191, 0.7978723404255319, 0.8829787234042553, 0.9388297872340425, 0.9521276595744681, 0.9654255319148937, 0.976063829787234, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,491.6507873535156,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,20,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.0, 0.0, 0.0026595744680851063, 0.013297872340425532, 0.06914893617021277, 0.2712765957446808, 0.5398936170212766, 0.7872340425531915, 0.8776595744680851, 0.9361702127659575, 0.9601063829787234, 0.9707446808510638, 0.973404255319149, 0.9787234042553191]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.0,871.6275024414062,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,21,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.0026595744680851063, 0.0, 0.0026595744680851063, 0.0026595744680851063, 0.013297872340425532, 0.06914893617021277, 0.2872340425531915, 0.5585106382978723, 0.8031914893617021, 0.8803191489361702, 0.9308510638297872, 0.9627659574468085, 0.973404255319149, 0.9787234042553191, 0.973404255319149]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.0,1452.0006103515625,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,22,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.0, 0.0, 0.0, 0.015957446808510637, 0.07180851063829788, 0.3058510638297872, 0.5877659574468085, 0.8138297872340425, 0.901595744680851, 0.9441489361702128, 0.9627659574468085, 0.9680851063829787, 0.9813829787234043, 0.976063829787234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.0,2338.45751953125,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,23,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.0, 0.0, 0.0026595744680851063, 0.0, 0.013297872340425532, 0.09574468085106383, 0.32978723404255317, 0.6223404255319149, 0.8324468085106383, 0.9042553191489362, 0.9441489361702128, 0.9707446808510638, 0.9707446808510638, 0.9787234042553191, 0.9840425531914894]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.0,3692.423583984375,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,24,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.0, 0.0, 0.0026595744680851063, 0.015957446808510637, 0.10904255319148937, 0.3696808510638298, 0.651595744680851, 0.8377659574468085, 0.9042553191489362, 0.949468085106383, 0.9654255319148937, 0.9707446808510638, 0.9787234042553191, 0.9787234042553191]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.0,5760.4599609375,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,25,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.0, 0.005319148936170213, 0.0026595744680851063, 0.02925531914893617, 0.1196808510638298, 0.3962765957446808, 0.6914893617021277, 0.8856382978723404, 0.9335106382978723, 0.9627659574468085, 0.9787234042553191, 0.973404255319149, 0.9813829787234043, 0.9867021276595744]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32.0,8000.0,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,26,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.013297872340425532, 0.015957446808510637, 0.034574468085106384, 0.10106382978723404, 0.20212765957446807, 0.3723404255319149, 0.5851063829787234, 0.7393617021276596, 0.8457446808510638, 0.8856382978723404, 0.9095744680851063, 0.9281914893617021, 0.9388297872340425, 0.9414893617021277, 0.9654255319148937]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,80.0,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,27,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.013297872340425532, 0.02127659574468085, 0.0398936170212766, 0.08776595744680851, 0.19414893617021275, 0.3617021276595745, 0.5611702127659575, 0.7526595744680851, 0.8218085106382979, 0.8882978723404256, 0.9175531914893617, 0.9388297872340425, 0.9361702127659575, 0.9521276595744681, 0.9627659574468085]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,242.87576293945312,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,28,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.013297872340425532, 0.023936170212765957, 0.03723404255319149, 0.0851063829787234, 0.18617021276595744, 0.34574468085106386, 0.5585106382978723, 0.723404255319149, 0.8271276595744681, 0.8936170212765957, 0.9228723404255319, 0.9441489361702128, 0.9468085106382979, 0.9521276595744681, 0.976063829787234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,491.6507873535156,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,29,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
